"code","iso","country","BTO.ind.1996","BTO.ind.1997","BTO.ind.1998","BTO.ind.1999","BTO.ind.2000","BTO.ind.2001","BTO.ind.2002","BTO.ind.2003","BTO.ind.2004","BTO.ind.2005","BTO.ind.2006","BTO.ind.2007","BTO.ind.2008","BTO.ind.2009","BTO.ind.2010","BTO.ind.2011","BTO.ind.2012","BTO.ind.2013","BTO.ind.2014","BTO.ind.2015","BTO.ind.2016","BTO.ind.2017","BTO.ind.2018","BTO.ind.2019","BTO.ind.2020","BTO.ind.2021","BTO.ind.2022","BTO.ind.2023","BTO.ind.2024","BTO.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",7.1327404201087,7.6495996622764,6.42535444390668,6.41452308277307,6.23888284340839,7.96265570000801,6.91351225529918,6.90656436900532,6.72892751374202,6.40649518799184,6.39689861234135,6.19901236409326,6.20397491867641,6.2107746785544,6.26533220572483,6.23874236647468,6.21393543969545,6.21377341047084,9.29597313293164,5.90289254015906,8.11370537661927,9.11441555139764,8.38227218126097,8.43043067654141,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",43.0998200829776,42.2584490550611,41.4366116966861,41.7343481994272,40.0120066605283,41.4436401447746,42.7466597690114,44.3236379127789,46.4203690373279,46.1392524513736,45.9330008118171,46.1573990290664,45.5704647466589,45.5948156475087,45.6734103688686,49.9746631272909,50.3869041253124,51.429112022818,51.6872652378879,51.7015848436571,52.7979645238638,51.5712667270454,50.4968513544957,50.4111496267289,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",30.8580518985044,32.9373246280396,33.6957264888996,34.2082747617745,41.8932046312883,31.4890328962195,33.8600246086672,37.1810660960839,36.4618756464785,33.1719933310241,31.6461320782517,32.8173015743596,32.6741371346653,36.5548134016411,38.8942302059625,35.8977152272894,35.8700967467765,33.7672634142429,32.9090976564384,45.0974167032645,40.1407358657627,38.3747949276062,39.4580880313135,43.8271253073507,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",15.1232731930581,18.6317537720022,16.497485872513,21.4912005949898,21.9313862190537,17.8042678940529,15.0432727374989,14.6059392070922,11.7386304944361,16.4302255405486,22.4436498940216,20.096910432191,19.9638045850892,15.5429290609703,16.3997732892266,17.1305997866539,16.8486918356829,20.0653037430385,17.434326637825,46.2328681875931,22.2859231846662,23.4741679045743,25.3983478304089,25.1331953903288,NA,NA,NA,NA,NA,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",30.3134158109263,31.0364768027266,30.6557203752554,30.2381832390322,34.0994421934957,31.7403264044082,39.9220638318547,40.8575817069868,43.7409622479042,46.4962423751048,46.7109959439846,50.1030761155076,49.5480989871211,46.9216051945463,49.3275506335582,50.123157281678,51.1314955011007,50.7711875934753,52.2470191961849,54.1540121637914,54.2794970458214,53.9314225297176,54.6206382423365,53.66144001402,NA,NA,NA,NA,NA,NA
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA
