"code","iso","country","LUF.ind.1996","LUF.ind.1997","LUF.ind.1998","LUF.ind.1999","LUF.ind.2000","LUF.ind.2001","LUF.ind.2002","LUF.ind.2003","LUF.ind.2004","LUF.ind.2005","LUF.ind.2006","LUF.ind.2007","LUF.ind.2008","LUF.ind.2009","LUF.ind.2010","LUF.ind.2011","LUF.ind.2012","LUF.ind.2013","LUF.ind.2014","LUF.ind.2015","LUF.ind.2016","LUF.ind.2017","LUF.ind.2018","LUF.ind.2019","LUF.ind.2020","LUF.ind.2021","LUF.ind.2022","LUF.ind.2023","LUF.ind.2024","LUF.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,9.28805720338643,9.37335006596413,8.70345964506856,3.93609620550873,0,0,0,0,0,0,0,0,0,0,0.00464264142858895,1.43048820138536,2.31163300215447,3.09074548604572,1.54811074219378,0.904560449604404,0,0,0,0,0,0,NA
8,"ALB","Albania",NA,NA,NA,58.9207195944871,100,100,100,100,100,100,100,63.9495909545473,48.8999593420512,44.1808768282977,40.7566693837707,37.611505064725,34.8361911083436,33.5556495698363,30.8519562762345,32.3301457933435,31.3840742992537,36.049961781898,39.9905489811434,42.2460653806104,44.505217792257,47.5989662516366,52.1545008652288,59.2015023229626,76.9095787797278,NA
12,"DZA","Algeria",NA,NA,NA,16.4839005882296,18.058706146394,23.1878001937363,25.4677203370965,26.3299770410273,26.8476025738089,29.6565660448053,31.9688020751389,34.1785858351968,35.4614660011289,35.9603385064538,37.8750003957614,41.0570334359872,46.4073266465197,54.576036067956,62.7851825812102,71.4708688702697,76.5839973057036,77.4209537159321,65.8355171219934,65.8394830812543,68.2678668581159,62.5185190108639,57.9648172646681,56.4101298925395,53.7250590835956,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,54.4418693873899,53.2269733453259,51.5651409061614,49.3796905236841,47.4887801467172,45.99724449206,44.5446647596463,43.0537526642474,41.1061271257914,38.4985748381147,35.978754508604,33.6661191135673,32.1989804815969,31.1458291036886,30.1228909920114,29.1782639409178,28.2398910278839,27.5909415026759,27.268717576866,27.5387876667074,28.1337828493818,28.9468492416007,29.5342708669576,30.0117841489043,30.5469832193198,31.0536607615708,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
32,"ARG","Argentina",NA,NA,NA,39.9327125612927,39.5700452670387,40.4054963886172,37.2070469645035,33.1213641488496,29.1971858028586,25.8959648226988,23.2603247676219,22.3189007848896,22.0594589295632,19.7106324589087,18.3676163377494,17.1520094221365,17.404680341806,18.4297889735556,19.3030873623196,20.8516720951011,22.510359898091,23.2403126880477,23.083913792246,25.0539797653927,26.4894055738237,27.6586127978071,27.842647846133,27.4490514977543,28.0639802628565,NA
51,"ARM","Armenia",NA,NA,NA,29.9245774717114,27.4498609777198,23.9811609534319,21.2220736487241,18.9931553827617,16.347149361302,12.899845647041,11.2638560112477,10.164922990105,9.14696258924511,8.21827586972353,7.58817578680596,7.51665225331496,7.75211065236806,8.34399650536442,9.99960830753571,13.609230227638,15.8495075180031,17.6306811670496,19.3297976554696,21.2372849763488,22.8258076295099,24.3335207541476,25.880267480453,26.9902731917399,27.8461317320066,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
