"code","iso","country","PRS.ind.1996","PRS.ind.1997","PRS.ind.1998","PRS.ind.1999","PRS.ind.2000","PRS.ind.2001","PRS.ind.2002","PRS.ind.2003","PRS.ind.2004","PRS.ind.2005","PRS.ind.2006","PRS.ind.2007","PRS.ind.2008","PRS.ind.2009","PRS.ind.2010","PRS.ind.2011","PRS.ind.2012","PRS.ind.2013","PRS.ind.2014","PRS.ind.2015","PRS.ind.2016","PRS.ind.2017","PRS.ind.2018","PRS.ind.2019","PRS.ind.2020","PRS.ind.2021","PRS.ind.2022","PRS.ind.2023","PRS.ind.2024","PRS.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6441885111111,NA,NA,51.9920061111111,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.9739662888889,NA,NA,65.7324252666667,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.6877295111111,NA,NA,74.6108070222222,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5270111111111,NA,NA,92.6710914888889,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.0490223333333,NA,NA,97.8108428222222,NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3633747555556,NA,NA,41.1874930666667,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3351354222222,NA,NA,29.5080313333333,NA,NA,NA,NA,NA,NA,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3016230222222,NA,NA,49.326101,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.7777777777778,NA,NA,77.7777777777778,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5158494444444,NA,NA,58.9682556666667,NA,NA,NA,NA,NA,NA,NA
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.2541418666667,NA,NA,71.5611080888889,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.7116793555556,NA,NA,64.1714847555556,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5787530888889,NA,NA,23.3456253777778,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.0527053333333,NA,NA,58.4517061555556,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1782893777778,NA,NA,56.5865388666667,NA,NA,NA,NA,NA,NA,NA
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,13.4672323777778,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6654022,NA,NA,73.1412019555556,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1268883111111,NA,NA,61.6344058444444,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1628273333333,NA,NA,41.9960333777778,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.0105868,NA,NA,71.7196477111111,NA,NA,NA,NA,NA,NA,NA
