"code","iso","country","PSU.ind.1996","PSU.ind.1997","PSU.ind.1998","PSU.ind.1999","PSU.ind.2000","PSU.ind.2001","PSU.ind.2002","PSU.ind.2003","PSU.ind.2004","PSU.ind.2005","PSU.ind.2006","PSU.ind.2007","PSU.ind.2008","PSU.ind.2009","PSU.ind.2010","PSU.ind.2011","PSU.ind.2012","PSU.ind.2013","PSU.ind.2014","PSU.ind.2015","PSU.ind.2016","PSU.ind.2017","PSU.ind.2018","PSU.ind.2019","PSU.ind.2020","PSU.ind.2021","PSU.ind.2022","PSU.ind.2023","PSU.ind.2024","PSU.ind.2025"
4,"AFG","Afghanistan",100,100,100,100,96.7330982482149,96.7330982482149,96.7330982482149,96.7330982482149,96.7330982482149,100,100,100,100,100,100,100,100,100,100,100,100,99.8402419542993,97.7495605165076,97.7495605165076,97.7495605165076,97.7495605165076,97.88492614769,100,NA,NA
8,"ALB","Albania",39.7222656160621,40.46905740655,39.2549977725374,39.0571275408075,38.7237278241296,38.2410055144974,36.8155408021881,35.8675879324569,34.8548754770732,33.7273720889049,33.3234137468891,33.5681610500068,34.2394015404462,34.978296583396,35.891927000743,36.0293616353931,36.119777424933,36.0402470160926,35.8373060089107,35.3900286587627,34.7136356525398,34.3189405549012,34.5742107318228,34.719990225294,34.8526954735079,36.4389048905666,39.2939671637917,40.6920226010054,NA,NA
12,"DZA","Algeria",77.6889355304935,73.2873985861438,76.3564951716828,83.8871289901959,79.6553368190816,78.881670110888,85.0828839788899,85.7047940452485,85.7047940452485,93.4473097654439,96.0642072629933,100,100,100,100,100,100,100,84.7698204924715,83.9977630105475,83.9977630105475,83.9977630105475,83.9977630105475,97.5992719743341,100,100,100,100,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",73.6879749678562,74.7321011076102,77.4056943471086,80.3832739560274,83.9188674131888,86.9117456666143,92.0343729001005,94.0099699354172,98.4089173457018,100,100,100,100,100,100,90.6775573369177,81.215082707956,81.215082707956,80.3916949146972,80.3916949146972,83.7311820472095,94.3234612043769,94.3234612043769,96.9707948751591,96.9707948751591,96.9707948751591,92.6704273930323,92.6704273930323,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",37.7262512629744,37.9955049758639,38.2180778627374,38.0727939463089,38.2971749366281,38.0845514170348,37.9113554002842,37.4754125958546,37.7208893991231,37.6696592331186,37.720680812065,38.1329617410579,38.8248541136098,39.0216041770356,39.8166139057989,40.465328126927,40.6717674578108,41.0197411950965,41.5756358267077,41.4078885910826,41.4759273411345,41.4778902964684,41.7302296428768,41.7996206023053,41.5686007385232,41.5083268778432,41.6001619669127,41.6979727654189,NA,NA
32,"ARG","Argentina",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA
51,"ARM","Armenia",58.8724212744685,63.7941889278263,68.3716263984927,74.8594789812921,83.2707433261623,88.8098902002954,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.632319691562,98.632319691562,93.9065885209219,93.9065885209219,93.9065885209219,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",39.8537706961761,40.1013996557417,39.9687365558041,40.6744259129743,42.3931752027287,42.7615541473366,43.3092306300729,42.8581108194072,43.0806960311666,43.4908805006722,44.4546532976368,43.4326798801608,44.7635251021286,46.5219281507123,47.4058697361319,48.8391094896725,54.0588141486124,57.3609447468268,56.5632578377002,56.8380377934613,55.8590843405762,55.6746821541415,54.6998236563862,53.1029286412057,51.5505168266546,51.3543329974877,52.2272253882017,54.7422582422805,NA,NA
