"code","iso","country","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020","SDA.ind.2021","SDA.ind.2022","SDA.ind.2023","SDA.ind.2024","SDA.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,9.74723788646025,20.8492589420765,32.8771516439141,33.7857066769155,38.5723214317224,42.5515812666982,NA,NA
8,"ALB","Albania",NA,NA,NA,100,84.5733476929107,46.4050908849207,23.5275161609653,8.29000841127994,0,0,5.93393853877416,51.1968151651705,82.0362264533947,98.46799754747,100,100,100,100,100,100,100,100,91.7285177498763,89.2475936785137,80.4096698068561,65.1395137810441,56.4361003807644,50.2590327217781,NA,NA
12,"DZA","Algeria",NA,NA,NA,46.2311897002194,46.0606443856902,47.1939446593046,37.400016894927,30.6801369444901,26.7905381573907,25.0495256298872,23.9814757819992,24.2893310371182,41.3602847663321,51.5783084638102,60.0135692450102,69.8030033876543,73.0864682953655,82.7420606261201,86.2885686894908,84.467733431492,80.3474826454798,72.0350280401348,73.926472378349,67.435844410023,64.0344959178454,57.8832161899804,52.611348059472,52.9296587907617,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,50.3651846827816,39.0621668241136,25.0699170594092,20.0595591437121,7.72174859985704,3.37812732301363,12.2046411689263,10.0346047882977,4.63700347742632,5.25596546847292,0,0,0,0,0,0,0,0,0,14.0717732904159,28.0253598842824,47.5612766609188,52.3508081315228,58.2485930528911,60.5897865780882,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,27.8223309212795,31.9544356156579,39.021769092732,86.9269987624564,100,100,100,100,100,100,90.0596483359309,55.5442083881843,32.5419598775917,47.5710084518217,54.1980439999917,58.8518060928431,62.4458428911153,65.6105669993121,66.9364129383795,71.8338110179026,60.4390771416555,48.7308119531314,51.8250099837804,49.9593526489548,45.822139145997,NA,NA
32,"ARG","Argentina",NA,NA,NA,42.2682851360698,46.3978706448892,51.714601117601,53.4237275859037,53.2231594027958,51.8110503420444,50.798354061395,53.6940822976539,52.3552550400267,45.5955961401429,42.7326604321413,34.8667839670496,32.5887110417204,36.4637160498233,43.1859337128246,42.8204914911839,37.8809807262937,42.6787834736792,50.0671631127796,55.7899340050224,71.3228709495492,63.4291422178357,63.9388274334485,64.6185504671717,64.1330816898152,NA,NA
51,"ARM","Armenia",NA,NA,NA,80.0155583648727,96.1887216818929,98.7722878066868,42.3974455502498,0,0,0,0,0,0,18.5634509180658,29.9330581651579,42.3356937276607,40.2115332689857,34.4865031748529,33.6772053238975,20.0853271620114,9.27144837711577,9.79062232170733,21.4625680407861,74.9186147796946,100,100,100,100,NA,NA
533,"ABW","Aruba",NA,NA,NA,14.5443337934686,27.8246439516218,49.2992930100859,50.4593508931427,51.3451671904495,52.035051632134,48.286077487138,51.2137740320379,51.9905159399104,56.2130479973354,69.6154359610017,85.955558522361,76.2575490062046,77.6101377572254,86.4965847448971,100,100,100,100,100,100,100,100,100,100,NA,NA
