"code","iso","country","SOE.ind.1996","SOE.ind.1997","SOE.ind.1998","SOE.ind.1999","SOE.ind.2000","SOE.ind.2001","SOE.ind.2002","SOE.ind.2003","SOE.ind.2004","SOE.ind.2005","SOE.ind.2006","SOE.ind.2007","SOE.ind.2008","SOE.ind.2009","SOE.ind.2010","SOE.ind.2011","SOE.ind.2012","SOE.ind.2013","SOE.ind.2014","SOE.ind.2015","SOE.ind.2016","SOE.ind.2017","SOE.ind.2018","SOE.ind.2019","SOE.ind.2020","SOE.ind.2021","SOE.ind.2022","SOE.ind.2023","SOE.ind.2024","SOE.ind.2025"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,72.7441405765421,71.4663695932882,70.861379849922,69.3908936285497,68.2283488675505,66.7871795714631,66.7750566686287,65.4836936380313,64.9120738156289,64.6347726716643,63.8745531385157,63.3694806597693,63.168741012804,61.387396571377,61.5440192202334,61.3319640651925,61.1683165572894,60.6256434570337,58.8470051664335,59.0749149378323,59.2364268622664,59.1667662859996,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,25.135067291492,27.3601881143191,27.2119429021638,28.5749174605088,30.5435498311844,32.149024129402,34.5308647181157,37.7322465098606,36.00570195324,37.8499191125952,39.4386418041761,41.3891700986043,40.7658606151022,42.9424156644418,42.7328527736455,42.5029082424307,44.0918155132955,45.9779109126132,45.7875283530434,45.0359294237337,46.3395638093067,44.8476234690179,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,42.5817144774022,41.1860109268576,40.6207239934462,40.589498002067,41.0038324454589,41.0904797782708,41.5799125896523,42.237280739121,39.0109253793188,36.2386102747196,37.0102552043656,33.4414168323648,31.4211732079304,30.2993839328753,29.2603408341475,28.4126980316292,27.7592408538616,25.248908070621,26.1008199533187,24.5967950365572,25.5642850114483,25.6239478957945,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,40.7014523280583,42.4821107168927,43.5891548878978,44.4741417488227,47.3370381137474,48.729771240098,50.7215041413611,53.8770289506302,54.3434728556129,55.7314998399494,57.8970772464373,58.2360821561104,59.4261504783149,60.9307005732861,62.3095395071841,64.8289500490378,65.8293848819359,68.0058033271057,68.5812262185543,67.3357452119693,67.7081123529122,68.1482074495675,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,67.1526432256352,66.8201547506387,66.9071908934548,66.395410627136,65.1314935858523,65.0477688503811,65.6346252369895,64.8542911696241,63.5066289177148,65.3831216193352,64.0372715874023,64.7318918166698,63.355171516372,61.8664895985377,62.980419274172,61.821362226194,59.9482537420265,59.9047606965384,59.5098882766567,60.6368068104498,59.2318642768138,58.66370855681,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,79.6067023279222,83.3910421298617,79.8226361019578,80.6462777458944,80.5689165926247,84.6886651772963,83.1536666349263,78.1525963460641,83.1102651097323,81.7382181717692,84.658424387572,83.9043283594912,82.0395186740851,80.6836901636035,84.6314551328017,88.1970768826049,85.5394712742412,85.6966489240828,86.9662175123475,87.9176312903023,83.483956023829,82.8660752567505,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,58.771964852863,61.9069997673793,58.1242765388704,58.7230880738132,60.5087013846143,63.8277508688933,63.0690746458891,57.0865302537152,60.9764107367834,61.861926491362,63.2897797811091,63.2784468848692,61.6050963589542,58.5424116656327,67.3225912048964,68.6035546604984,66.9001129587555,67.6245838754118,68.4518926132482,69.0998714021918,66.7527602103152,66.1474291504613,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,59.5140104536806,61.2339364643766,62.1449600267347,61.8546079391734,62.7789831913902,62.2046934646622,64.0144496219568,65.221700457507,65.641045558244,65.9530735620647,65.9363163478865,66.8788505796571,66.8365337231668,67.6525840411303,68.0838459028346,68.4122442709503,68.6645438348248,67.2325745001456,68.4837256139733,67.2437420069091,68.7462739626872,68.4458082896509,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,45.2089332665356,45.0362257938583,44.5326710932315,42.4719771527195,40.9204070474314,38.2108685365718,37.5478964236451,36.2893865654626,36.62065937343,36.0217099106449,36.1091405761174,35.5382811168786,36.2959952668534,35.8559662798171,35.5422278973418,36.7611784154491,35.1077352236424,35.6252659157387,35.6075028876282,35.7220455668466,36.1024511111995,36.3619957567175,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,59.121674255282,60.2134095913135,59.1172647602595,60.3450698540687,60.8260915769978,62.7247581851668,62.4130458412928,60.8747357534127,62.0540055441306,62.00429567436,62.3601680872662,63.1372739099318,62.7153264242886,61.0202682566423,61.5607748060908,62.7724780900875,61.6491367220878,63.0503051251993,63.3763188212998,63.7851565732642,61.5310785529917,62.1641345973808,NA
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,25.6674749346401,26.3065209529512,26.2533444655169,27.4334413645738,28.6344184911929,29.5264936521779,30.2400841224966,30.9746061747455,32.2675481632144,32.9846796498727,33.7574419252543,34.2694330542455,35.0751858325914,36.8786651563032,38.269945537397,39.6703061530074,39.5471915525973,42.1035359000939,42.2317016196179,42.6659964104514,41.7117199058113,41.6763473761196,NA
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,41.5923522453388,43.9346860921977,43.4416274411859,45.0202498400575,47.3862881063726,47.9173984746547,49.7381842044484,51.7060124146544,52.3021212779648,53.8238793790391,54.5647745271562,54.9280894734835,55.4928107650471,57.1063113293709,58.6105613209775,57.8215119370886,60.050676729582,61.5397367238577,61.4937533036938,61.4431957088186,61.4345131864982,61.1218592830377,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,28.187924464153,27.5677235702515,28.4785169850603,29.442323242022,30.5342678398602,32.199364801029,33.2982304228475,34.0859696209757,35.8816745702756,35.5314615918492,36.0209065347589,36.4831230020068,36.8123239213696,37.157055752005,38.5603707291964,39.6318142042108,39.2535665269083,39.461196991331,39.2874429214659,39.7553514549452,39.5645682042556,39.4944400338389,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,55.3115530120197,58.0610994757614,57.8336488042451,58.1093358221965,59.0438200249551,60.4281291269631,60.9261085556086,62.2312562992761,61.8961181136005,62.1611007591447,62.604619070834,61.019829386141,60.319098273562,62.0922995795448,69.4744561923188,70.2483141857579,70.5909956622646,70.5074101169099,70.0672342482932,71.2098516376456,70.7969043495429,70.8327348076163,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,10.7314712690531,10.2276745044592,10.3709069057276,10.163597437212,10.8640731396763,11.4022284145945,12.2352628588221,9.74926214565143,11.856764742476,11.4628747649664,11.6394177254107,11.5506453118963,11.347334752209,9.75252040041855,9.43330800730998,10.0288856463688,10.6268866943537,11.0834783012277,10.150922130478,9.81447921241916,9.83150822027103,10.1835863389266,NA
50,"BGD","Bangladesh",NA,NA,NA,NA,NA,NA,NA,32.2769223643279,30.8457015556703,29.5152551578375,27.3713004039522,27.16172996013,26.0133563162373,24.2447329579329,24.7846129495603,23.2251414798769,22.5326061502342,22.1538249177319,21.1136544036551,20.8262800801772,20.8032594402332,21.5837357309212,19.9041928183532,18.6603609915124,17.6363049187565,17.335780942918,18.3893319380023,17.2734285559041,17.8025298141444,NA
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,82.2133321008863,83.8660840729997,80.4364585043989,83.3148964277554,84.4199485974071,85.8578579268027,86.7789886830741,83.4400346465442,85.439929735864,86.2542362688693,87.2489834770196,88.6632514767059,87.7208389457044,84.6380418628077,91.4150822282127,92.8588321712856,90.9012566521295,92.1922583081949,92.965562772778,92.6021966226064,90.9168393816948,91.3877047988931,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,46.0231693590075,45.7494847462337,45.9143945228728,46.7039901738268,47.011465359365,47.7981826098516,47.7241179941319,47.1142129862291,48.1101132395494,48.4638357659413,48.1379561538466,48.6072962054643,49.2588834964383,49.6312868904728,50.077654735862,49.9094783639199,50.470514371516,51.0894242779368,50.8077000192329,50.6914799522504,50.3400951779878,50.4182394207284,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,26.6053173658571,28.8662328030591,30.5285234741356,32.748164192592,33.9691767483322,35.985861814533,37.6250181952996,39.6822616404693,41.0530196125353,42.6142465967296,43.5377214196145,44.6655323318407,46.4614519088063,47.5528809725536,48.4103030597757,49.8707050847306,52.9635467046447,55.9771563198724,55.5484388394424,55.1277232929976,56.4543961396926,56.2155437220446,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,75.9613324711639,79.0855627750732,76.2624481230415,80.4694885788193,79.6034159463557,80.9964734816174,81.4163447825169,81.673113253574,80.172178806791,82.8820685365279,81.3944045737076,81.7756144082605,81.7116059648613,81.6803496797577,82.9384251021408,84.7233275270453,82.4206131471506,82.5972498074407,84.3266241208672,84.6316412319767,81.9332958851287,81.4181603126928,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,69.5128101275344,66.249931182201,64.8663447522835,65.578616360984,62.5546763067332,62.1400114404986,63.7625231654187,64.4510539642174,63.4741245931311,63.0681906644245,62.7585841978795,62.7418074233279,61.1973057346129,61.2659000611366,61.3556429765322,61.0850833424516,61.0584667715028,60.295181359957,60.7329980503921,59.7916169399472,60.2890241969421,60.0892209142966,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,76.1414235229668,76.9206322448058,77.713789767385,78.103017358132,79.7751763050756,80.0307101718687,80.361302991606,81.8237946879032,82.2381203981579,81.9772931590213,83.0820315932395,82.583923699347,82.575624990872,82.6469600526542,88.3578782259302,89.6008836545596,89.1052444662817,89.7398769722716,89.3550147351729,89.1665236497867,89.0414098245088,89.7893288626365,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,53.6238477146251,52.2934969524814,50.6800576492603,49.26124108484,48.7566887809692,47.6914752531149,45.9338234288917,45.5714484286444,44.5369391788976,43.7280473956918,43.3846262244005,42.3783010332061,42.5196437290598,41.8386090146757,41.7897530143054,41.3533778051865,40.2941275195303,39.8193406969678,39.3808206346084,39.8566137006733,39.3725045252698,39.6144683884007,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,88.0508267488469,87.2871970917546,87.9039385207135,90.6346532844403,88.5726560205679,90.6223355498386,93.6022720502982,87.8021061538359,90.3088465462237,94.7852643407424,95.435429623258,96.0314690310492,96.5885864038891,91.7635825715204,95.1015626112977,95.9240394349846,93.9072838756176,92.0006839127728,93.0539409095201,91.2029815206258,91.1344613200303,86.6443861371816,NA
