"code","iso","country","CDO.raw.1980","CDO.raw.1981","CDO.raw.1982","CDO.raw.1983","CDO.raw.1984","CDO.raw.1985","CDO.raw.1986","CDO.raw.1987","CDO.raw.1988","CDO.raw.1989","CDO.raw.1990","CDO.raw.1991","CDO.raw.1992","CDO.raw.1993","CDO.raw.1994","CDO.raw.1995","CDO.raw.1996","CDO.raw.1997","CDO.raw.1998","CDO.raw.1999","CDO.raw.2000","CDO.raw.2001","CDO.raw.2002","CDO.raw.2003","CDO.raw.2004","CDO.raw.2005","CDO.raw.2006","CDO.raw.2007","CDO.raw.2008","CDO.raw.2009","CDO.raw.2010","CDO.raw.2011","CDO.raw.2012","CDO.raw.2013","CDO.raw.2014","CDO.raw.2015","CDO.raw.2016","CDO.raw.2017","CDO.raw.2018","CDO.raw.2019","CDO.raw.2020","CDO.raw.2021","CDO.raw.2022","CDO.raw.2023","CDO.raw.2024"
4,"AFG","Afghanistan",1756.3024923918,1978.46268983778,2094.58052041183,2519.95376883639,2821.539726236,3501.42174643251,3133.64489083782,3113.82608856231,2856.89592205929,2764.8550301002,2024.326,1914.30111450382,1482.054,1486.943,1453.82890954774,1417.327,1370.104,1304.152,1278.504,1091.64,1047.128,1069.098,1341.065,1559.679,1237.247,1889.507,2159.31807251265,2799.909,4254.49000000001,6388.232,8364.80299999999,11409.6232920013,9731.202,8891.44706930695,8697.668,9384.4004544744,8605.9321043627,9311.05398779046,10191.5042189781,10400.1104289184,11118.6258680657,9868.84089051096,10169.8887528721,10516.319420717,10825.9976892663
8,"ALB","Albania",5170.83660803242,7343.09017883812,7307.60666806157,7630.8092347803,7825.90291316995,7881.54047691409,8058.07733775945,7447.29206504432,7329.22190778297,8986.16904820521,5520.60200174035,4290.22550677219,2517.11606287421,2337.99871532265,1923.8060704853,2089.06490943057,2017.50792305889,1543.00922317525,1754.70912229586,2986.19581658338,3024.92593356099,3220.656,3748.272,4303.49945572246,4176.68440892595,4261.41303667584,3910.7149793938,4003.59683207324,4448.33910829224,4369.91199999999,4816.841,5175.44399999998,4930.00593359072,5346.08942679319,6072.48889908944,4712.14404669678,4555.03491230409,5343.79154521936,5194.86012158449,4940.52774581728,4865.03341354055,5137.01148214287,4498.2822830417,4417.33281879773,4444.44755570454
12,"DZA","Algeria",66123.6095582864,45999.2703602047,38807.7847533192,52074.201977276,70417.0048809093,71987.7801910276,75381.794267308,83019.7259625651,82838.6201020077,78942.1408419327,75892.11173,77975.8571,79284.1685000001,81305.9671000001,87848.4771483681,95905.6983279999,99559.524676,87516.9126319999,105740.125676,90612.9000726603,84552.4524279998,86019.196992,89658.4028519999,94077.928136,90852.531452,109564.418948,103797.7569,107548.695564,108596.082919226,116327.970648,117847.359725241,124715.239633068,135593.456130876,141534.277549424,152434.661726143,160321.613552473,158308.318798573,165251.639629316,174461.175982715,182424.989884118,171138.530946565,182035.819389075,192778.562111088,202846.648703949,198203.188658723
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.04,403.04,403.04,406.704,403.04,425.024,454.336,465.328,490.976,512.96,523.952,523.952,531.28,534.944,564.256,578.912,545.936,538.608,538.608,516.624,516.624,490.976,487.312,476.32,461.664,465.328,472.656,472.656,498.304,490.976,377.392,414.032,423.407725328,418.098052757199,424.662982500287
24,"AGO","Angola",5334.35163565001,5266.77401655083,4635.17857250112,5100.53482558548,4985.84694264555,4676.11424203712,4633.83950258729,5786.02876313745,5049.30573378161,4922.74974194999,5089.86393479014,5064.05441061205,5164.44854632725,5748.38872264751,11353.2480891868,12616.6504619177,15248.9567187538,15884.2494577448,16513.2940273303,17261.2778466703,15995.1075497942,15908.4614116944,16080.0016293949,17484.4279072775,17015.6870396701,15386.8186159691,17144.8391357931,17587.9374494314,18750.1563653134,20668.3313958509,22983.3207636783,23397.0309210925,25940.9598503748,25709.7410621127,26092.1469720755,27505.2275020512,25465.6341868084,23600.9848162092,23278.0493791743,22210.0745704369,16549.3411420167,19218.5606996261,21089.0051319678,21674.8160982948,22333.5833404706
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.968,43.968,47.632,54.96,54.96,54.96,58.624,58.624,65.952,69.616,80.608,84.272,84.272,87.936,98.928,109.92,120.912,124.576,124.576,124.576,128.24,124.576,120.912,113.584,120.912,135.568,139.232,128.24,131.904,142.896,135.568,139.232,142.896,142.606931771964,148.08540896562
28,"ATG","Antigua and Barbuda",142.896,106.256,293.12,84.272,146.56,249.152,249.152,274.8,285.792,285.792,241.824,249.152,249.152,256.48,267.472,271.136,285.792,307.776,322.432,344.416,355.408,373.728,403.04,432.352,450.672,479.984,516.624,534.944,538.608,556.928,549.6,545.936,556.928,556.928,567.92,578.912,593.568,600.896,615.552,637.536,615.552,633.872,641.8316736,640.533294746952,665.140422909979
32,"ARG","Argentina",108695.221383077,102008.616646241,103388.133923038,105182.114935851,106491.760352437,100569.298108001,104198.747712162,114935.941982236,121464.444855639,117066.976773733,112188.295196923,117726.927743405,121514.168289886,118020.971460611,118506.770914684,125415.496523236,131445.541314062,136616.998939333,139505.28807795,148344.569783493,143354.805336196,135003.961864886,124930.114112187,134420.99237804,157235.149192116,161727.950986069,174341.651582134,173763.577718242,187595.530545779,178378.451564588,186121.297112462,189883.826995155,191714.570108576,189524.848379486,188539.180279411,191808.789626634,190020.497488471,187068.018244365,182483.460447213,180427.660408573,164612.721693208,190196.935439993,183768.142612255,178407.004260315,171059.270763609
51,"ARM","Armenia",7734.90433183277,7600.47576231864,7745.15142813545,7861.09158465322,7935.47395514771,8551.1119370725,8142.52450710409,8169.48119562145,9298.55080034107,9418.27334741434,9003.20972591197,7382.95199505182,5723.69777497217,2510.24709350061,2684.70241645559,3362.69395237616,2500.31219130615,3252.76090140854,3419.0941708292,3040.20374100728,3491.407,3532.701,3076.79331067961,3455.56,3691.19699999999,4376.16899999999,4401.59,5100.20988041088,5574.79,4363.49967457626,4256.41399999999,4968.878,5748.25200000002,5535.12687055668,5604.11266226041,5469.20419431281,5206.67741049585,5536.58936492892,5822.12198104265,6284.11023222748,6795.18956888659,7350.70388625592,7698.77255377316,7430.22792133548,7430.71537683842
533,"ABW","Aruba",585.434587699316,557.624911161733,623.468410022778,320.424728929385,800.141649202733,936.531753986333,179.536,447.008,611.888,648.528,487.312,531.28,538.608,648.528,659.52,710.816,721.808,758.448,806.08,809.744,2377.936,2407.248,2436.56,2561.136,2616.096,2715.024,2711.36,2821.28,2656.4,2627.088,2506.176,2495.184,1344.688,861.04,872.032,897.68,883.024,890.352,868.368,831.728,820.736,861.04,888.38143668,886.584305565615,920.643883441263
36,"AUS","Australia",204370.204886413,213809.926695227,218000.905735981,207645.380659474,217514.604044735,224557.44256121,224040.278765063,234598.331823744,240737.044361146,256838.113483957,278061.015726891,279437.374277442,284433.456494728,288780.432519221,293613.293663766,304962.29687542,311850.887574604,320242.533222133,334037.765701455,343876.186597625,349897.655317512,357667.798614926,362424.932006684,370784.411844224,382004.893498943,385081.498939303,391372.528882014,398896.277040845,404279.285938992,406977.093041068,405025.944128058,403874.388100867,405005.126379672,397849.880917678,392609.592207382,400589.161171251,409666.350263011,413407.826832262,414780.570487633,414925.320394623,398546.9145079,388472.29699538,384078.414991991,384316.056162381,386732.383476982
