"code","iso","country","CTH.1950","CTH.1951","CTH.1952","CTH.1953","CTH.1954","CTH.1955","CTH.1956","CTH.1957","CTH.1958","CTH.1959","CTH.1960","CTH.1961","CTH.1962","CTH.1963","CTH.1964","CTH.1965","CTH.1966","CTH.1967","CTH.1968","CTH.1969","CTH.1970","CTH.1971","CTH.1972","CTH.1973","CTH.1974","CTH.1975","CTH.1976","CTH.1977","CTH.1978","CTH.1979","CTH.1980","CTH.1981","CTH.1982","CTH.1983","CTH.1984","CTH.1985","CTH.1986","CTH.1987","CTH.1988","CTH.1989","CTH.1990","CTH.1991","CTH.1992","CTH.1993","CTH.1994","CTH.1995","CTH.1996","CTH.1997","CTH.1998","CTH.1999","CTH.2000","CTH.2001","CTH.2002","CTH.2003","CTH.2004","CTH.2005","CTH.2006","CTH.2007","CTH.2008","CTH.2009","CTH.2010","CTH.2011","CTH.2012","CTH.2013","CTH.2014","CTH.2015","CTH.2016","CTH.2017","CTH.2018","CTH.2019"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",1155.824093765,1271.40650322,1618.1537312841,1965.7905372674,1854.8406473921,1969.2481423295,1968.4760557622,2082.3296624892,1965.891244211,2082.2289555456,1967.6590458985,2433.718583308,2083.1856715094,2316.1296467692,2313.2273817517,3007.6383814169,3008.8352318725,4427.686645767,5366.892903982,6171.9391301816,7111.13682198,7111.135580347,7130.0918273177,7130.0914134401,7512.3178442109,7466.8648154781,7468.8929235902,7387.0769982052,8079.9433251742,8023.9737915513,7962.4790957818,8309.2094632907,7628.5551311455,7934.5857416741,5883.8370875856,9877.5371512481,9298.1462143665,11384.0329370819,11016.653702108,9337.6944129539,10807.904092538,3110.1749528008,2384.7977983102,2262.3064763741,2072.7583838442,3327.9844475191,9580.0318556686,3167.9940981484,5472.9581000979,4456.8912954354,4959.7258691578,8189.3965359122,3247.4669619878,2444.7560412117,3960.1667263173,4390.669307534,5259.5415901626,4379.1613626395,5775.7256067286,5366.3379401966,4945.3627829845,3946.48806866,9307.6473702446,9693.1977937162,8404.6919278468,7439.2927518402,7252.5620967275,7332.3441417721,8051.0266418452,7591.6342411198
12,"DZA","Algeria",57588.5251550781,52315.6304975181,59116.5887486189,51933.1970996131,49982.8938053347,55479.7002203498,51706.9240443462,51111.6505582797,46371.2221513869,49944.3179431565,54116.9629587248,58546.8241104399,43468.3287992581,40525.4066901406,40396.2550168617,41539.8713174613,45039.2221411215,44880.3706401623,41350.9268690909,47311.2163506551,46949.7087036575,46443.1490996506,53179.9411564844,58070.122402693,64185.4075017889,68481.5560388952,66563.2564529496,78279.241088264,67641.855641841,75794.0910443847,89032.9860399454,99983.11286889,111676.08391996,113143.047640116,116420.166912641,135870.6103256,118812.809666486,156509.221243327,177673.455467953,164945.862613812,155199.280331763,143128.221070741,163746.465708231,177759.335987449,222220.957629416,181026.516811832,155330.183307506,170212.319809495,174948.298486675,190722.024893456,206570.191027179,234568.040801816,239353.040997738,254464.15410359,230351.181810009,261210.706442677,289834.965636762,292523.555999771,283957.871257178,272307.627659768,241106.005475348,244398.658016025,244341.186081455,243461.638042348,237854.208661866,236374.251217295,241050.751180315,240313.023300034,254902.384364194,236644.15639922
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",186375.574992184,234643.902847257,206503.8888154,285431.218952996,324003.723883617,353489.778517319,490955.390288011,464404.379960315,349293.662217739,353520.426812421,353702.143161498,360884.110010224,422005.365601697,419635.800586338,576785.415916497,488605.817321128,596021.176445416,616787.880417937,616069.297046396,719539.667967586,669629.892410413,689525.113357015,1004737.58354055,1008851.74582044,866840.426958019,581634.858675149,460911.940689292,443068.169191977,558481.577926468,486589.157918755,409926.710995305,568748.967488203,562186.87764493,604744.491800513,541040.73774306,399980.0390963,392516.850616135,372026.756252931,841803.938463441,878401.26207049,631107.924202188,736385.706480362,642966.56265658,657165.113543997,656633.920652663,583461.183112302,612688.277458031,610773.018272091,698563.859088971,718508.13247762,816138.4434179,803817.351870329,686656.905007189,602754.643260275,604538.610832304,599650.764217571,629092.552494494,748730.897708439,726547.397776004,666657.902881475,637267.104048461,681313.35110068,706358.965005104,711953.039759477,758466.768744586,743809.383898086,759078.93459417,786482.73664665,724619.213185218,619737.007017106
660,"AIA","Anguilla",268.5310880627,274.4845915923,280.0034768139,270.6316608089,281.301198903,303.868940584,313.5378097132,319.5457549971,325.6436316883,342.2082977875,360.3712249203,380.878015898,489.7323284298,532.143782472,584.2997694106,686.0049093609,719.135379447,916.0023166627,673.2292476967,567.5258570164,619.3322947553,579.6008675578,732.9591104417,633.4757336366,655.4562831364,745.7969429586,657.7998961866,952.101020457,1057.392403214,925.8622229297,1475.4703120138,642.946829067,635.1482370985,659.0210725697,755.391204754,839.6416741356,943.7774708887,1012.0504819697,1154.1572169147,1134.4529320982,1140.7852822059,1112.6094733657,1154.8967496894,1227.7902247681,1380.9878033136,1394.8795617318,1192.0570294414,1344.509188738,1420.3543120725,1279.2530242169,1372.6541130559,1335.2404510979,1385.4735175546,1439.2622857872,1495.0907462846,1562.939176539,2082.4431709498,1806.5961030057,1625.6179308343,1479.2120922341,1589.5204066292,1610.8937203738,1651.242241629,1477.2495221655,1483.8152141414,1106.110281805,844.596939379,1027.036715466,1027.036715419,1027.036715517
28,"ATG","Antigua and Barbuda",1429.1236356865,1407.4908993317,1402.2149564336,1368.4434955035,1382.0777634311,1434.4468313619,1477.0210311482,1873.4177567899,2284.3688820422,2066.9849708962,1812.7717297772,2130.2672648074,2302.0027387233,2242.2021787193,2097.5458685988,2181.7293253935,2421.4744030741,2931.7730304394,2208.3896725428,2151.2225425423,2067.2262699764,2070.1923320332,2677.8061893426,2901.9164257941,3044.7907129769,3371.4815404686,2943.3148906103,3388.1527282228,3435.0967172672,2472.535116515,3656.9449034141,3412.6381503249,2036.7036568274,2142.0251275427,2527.8552823375,3729.4765880456,3692.6273174645,2889.5492835418,2259.0072718318,1751.4844752545,1686.9009747145,1815.3847192333,2068.9400289131,2244.7367636749,2114.6772189612,2178.5064067075,3377.4719207893,4034.9098388051,3691.3758128328,3538.4068594331,2324.4951122962,2158.5533465333,2767.9826161901,2976.7124387945,2838.1517897698,3354.4466675238,3405.069127855,3355.4027274418,3863.4632927099,2783.1883242565,2772.3700963774,3348.5449175607,7067.0491840678,5650.2438693344,3789.1917332643,3754.318094671,3754.318094659,3754.318094693,3754.318094659,3754.318094694
32,"ARG","Argentina",69897.8921443685,110105.553071351,118820.229884608,118890.411233863,124916.781007748,131842.397475208,127389.456018731,144902.848379553,138524.204276668,138074.973987744,160635.380738749,158276.821600326,166726.86051296,178783.502945939,295739.871263574,331365.098262094,410744.620571869,484030.179733434,508495.931418601,431879.706256159,299644.753330454,325469.044341476,336409.774249088,437782.03311961,444927.784530653,310130.724627752,433305.033991196,630685.54542554,884747.476347703,972801.358876869,654657.434512883,584259.580252839,792088.396408463,730826.725079262,572732.091137233,731391.311462722,787559.191385014,986629.000968338,1160603.54436629,1143614.79935013,1191536.79674864,1400713.81622209,1502943.42841381,1696465.63966506,1529655.97375358,1799381.18956709,1890650.26243773,2038466.08465929,1711272.70090498,1609278.23227786,1395520.0513195,1461985.2443893,1399081.82137567,1324682.13779772,1365109.2268056,1302688.61069962,1657048.1517865,1605912.94406581,1761059.43700521,1362285.95339236,1252640.74019361,1124830.28300155,1225249.12332885,1505817.60241884,1718024.52350076,1687422.96972349,1245644.08912793,1432648.72595455,1466586.6625702,1455579.15884889
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",511.3353913734,488.5681842294,476.6082537891,444.0842637761,445.94413446,472.1458338981,421.4979864913,415.8118040762,415.41243187,448.4671848779,439.0038414839,420.6200380352,480.4033634479,473.744782291,506.9958967614,549.4828204176,593.8101748383,628.3453283527,601.7927916521,625.5013733603,604.8790598354,603.3405501872,739.9377796537,658.9793218248,755.0905295457,916.0472071481,926.8853963114,1000.8333537876,1364.425259066,1417.6256054181,1302.5481511992,1154.9647643659,1802.1900991104,1936.0681198949,2368.8316400972,2127.7786568279,2181.0200683407,2089.5568186451,2810.8516651846,2405.8832003888,2719.6249253199,2662.801555727,4442.5718350068,2881.490278939,5951.3823084651,2823.5554600958,4549.2755118144,6635.8612926099,3824.7265893202,4136.4817229513,5662.8755435874,8204.3181280623,3771.7417862918,6313.9507176133,10817.9002958779,3701.0952845043,2317.5907648492,4253.9859030741,4325.9736464182,3722.1819927609,2853.1227240402,3878.0024594013,1981.5225454256,2006.4326066855,1989.182285267,1983.7535595353,2119.684451036,2148.7359326982,2433.6087085312,2447.9523494379
