"code","iso","country","FOG.raw.2005","FOG.raw.2006","FOG.raw.2007","FOG.raw.2008","FOG.raw.2009","FOG.raw.2010","FOG.raw.2011","FOG.raw.2012","FOG.raw.2013","FOG.raw.2014","FOG.raw.2015","FOG.raw.2016","FOG.raw.2017","FOG.raw.2018","FOG.raw.2019","FOG.raw.2020","FOG.raw.2021","FOG.raw.2022","FOG.raw.2023","FOG.raw.2024"
"4","AFG","Afghanistan",270.851107899,285.779993063,291.898328591,303.551721372,313.787408987,311.941629374,314.093982197,320.281128474,329.182522263,358.812736416,396.512663263,452.375560339,507.475709809,574.910306233,634.376187223,695.043062851,757.565513865,818.45058307567,879.80871502656,940.93031560733
"8","ALB","Albania",86.970498055,87.918933528,85.938615868,85.356769731,87.977271519,87.510926063,88.05472995,89.617937266,91.866905975,99.353096073,108.878132505,122.992110001,136.913381171,153.950997775,168.97528619833,184.30301159744,200.09955507293,215.48240750557,230.98478127465,246.42739437551
"12","DZA","Algeria",1075.486725808,1120.043933745,1142.013026086,1191.452433899,1238.376212424,1254.187829185,1280.544828708,1317.308908366,1361.46705281,1460.064093848,1579.945663603,1747.968505283,1913.744534495,2112.288651547,2289.736314195,2470.3516949434,2656.5374211488,2839.1296968643,3022.2608244207,3205.1225260567
"20","AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AGO","Angola",189.87861507,200.885954141,205.80618219,214.486948922,221.441133488,220.18710412,221.649424107,225.853001186,231.900658289,252.031587382,277.645130372,315.598689094,353.03403372,398.84947283,439.250920316,480.46833072333,522.94642972445,564.31208202259,605.99913592479,647.52548902497
"660","AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ATG","Antigua and Barbuda",2.26169604,1.045829518,0.58856886,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074
"32","ARG","Argentina",5474.996056429,5913.153363134,5141.56482717,5298.139946861,5446.106319786,5411.063022529,5471.698421531,5577.10496837,6089.282069211,7073.151539056,7789.780107073,8724.628339715,9664.819754777,10814.205767841,11820.265902647,12840.237586991,13904.083132146,14940.147486532,15980.108014493,17018.120455667
"51","ARM","Armenia",170.396533954,179.77535549,182.123671976,186.105318623,191.300976514,190.756255169,191.391452812,193.217382759,195.844330512,204.588703342,215.714587134,232.200664932,248.461641558,268.362720688,285.91209853933,303.81590974178,322.2673324697,340.23553639694,358.34334901614,376.38135728936
"533","ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
