"code","iso","country","GDP.raw.1990","GDP.raw.1991","GDP.raw.1992","GDP.raw.1993","GDP.raw.1994","GDP.raw.1995","GDP.raw.1996","GDP.raw.1997","GDP.raw.1998","GDP.raw.1999","GDP.raw.2000","GDP.raw.2001","GDP.raw.2002","GDP.raw.2003","GDP.raw.2004","GDP.raw.2005","GDP.raw.2006","GDP.raw.2007","GDP.raw.2008","GDP.raw.2009","GDP.raw.2010","GDP.raw.2011","GDP.raw.2012","GDP.raw.2013","GDP.raw.2014","GDP.raw.2015","GDP.raw.2016","GDP.raw.2017","GDP.raw.2018","GDP.raw.2019","GDP.raw.2020","GDP.raw.2021","GDP.raw.2022","GDP.raw.2023","GDP.raw.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32567375969.9946,29495629513.1972,37931379899.2707,41281584746.4411,41865355064.2988,46566715049.4503,49061481753.757,55844878995.5875,58036781460.4599,70451155676.9393,80569661676.7348,80913174277.9269,91231454557.6403,96341095375.7699,98965950294.897,100402257640.593,102671664129.973,105389386367.805,106642706595.941,110814146350.335,108208794210.783,85767546197.7544,80415503801.351,82238478027.9442,83677383312.3115
8,"ALB","Albania",18275990072.2438,13158321443.5783,12212618287.5811,13380072745.5126,14491002336.1528,16421541969.7812,17626280306.9721,15561965572.0664,16855168833.3166,18920049754.206,20332026336.6924,22134202388.9962,23158660899.0993,24393773483.9486,25678413443.5364,26995927111.9177,28620806900.4525,30481185855.164,32586540354.1344,33463363185.2088,34458280649.1101,35307166195.385,35654634567.7671,36263340585.6236,37075721715.7806,37901659079.1223,39383210491.1182,40676230579.7237,42169625552.0073,43039406929.8984,41613185841.6268,45345712251.0862,47534459372.723,49443166215.7366,51443601344.7113
12,"DZA","Algeria",297621347987.272,294049890066.048,299342794857.839,293056593899.881,290419094656.528,301455005124.495,313814655727.401,317266616742.205,333447225652.787,344117542052.763,357194008656.222,367909828911.016,387776959672.211,412982462053.311,431566672844.747,454871273177.049,468062540094.901,482572478843.865,494636790811.553,500572432299.784,524599909054.858,540337906323.456,553306016077.079,567691972498.468,590967343363.326,609878298356.214,633663551993.181,643168505266.462,652172864345.87,658042420119.891,625140299119.911,648895630480.26,672255873183.709,699818363984.642,725711643445.634
20,"AND","Andorra",2631759311.90244,2698763996.90569,2723841290.8748,2695745293.15108,2759989816.43446,2836096580.14852,2967967659.48467,3237093233.43958,3340511674.18327,3477441884.0993,3600138634.67129,3892446768.89736,4069411497.98481,4423214423.66702,4783072832.92882,5041253346.26448,5283671526.22279,5365736885.77917,5067445572.25505,4798726709.88385,4703953872.84549,4703574275.36736,4469597620.27972,4311034330.8461,4419002699.26687,4482377402.04324,4648659173.53205,4664746876.17637,4738858764.76253,4834372720.68675,4293699379.34509,4649508748.84024,5094216232.49801,5225828100.9848,5402033635.11601
24,"AGO","Angola",97297784927.487,98262355569.0491,92525523395.9401,70334740879.4429,71276778681.9252,81968295504.7868,93070384529.9102,99840582435.6121,104524250375.134,106804436150.307,110066910340.27,114696323000.03,130370365521.361,134916787445.384,150324100262.442,171602142235.172,191922955389.468,216878100294.342,240271951644.505,245066792516.81,258039809323.47,267313423592.843,290043412365.186,304206409978.552,318369419488.554,320799143936.46,315343857089.858,314872745269.793,313001106321.2,312360454887.6,299733448280.164,306036100914.862,318938590839.705,322967768020.026,337255560567.664
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1329089237.51845,1358021545.47963,1373754914.64808,1446287619.53479,1542847660.8934,1475582825.14792,1573044257.44848,1659109532.84019,1737606636.23234,1802032675.8295,1913822712.19418,1826779954.41738,1845545274.936,1957692355.7647,2070594497.83697,2204638354.72935,2484807048.41132,2716271365.28872,2715890908.07296,2390992152.19408,2203526249.02176,2160364841.19134,2233237030.97826,2219815671.04401,2268613698.85554,2300864764.37569,2395668849.3539,2460656794.99278,2625816198.94599,2709112916.44459,2197936454.54413,2377570792.25983,2594115333.09169,2657083928.89311,2754237217.77357
32,"ARG","Argentina",557088925124.231,607968472614.51,656224702857.102,710080926887.272,751522674939.001,730140279566.018,770492868120.735,832987905019.268,865059429174.392,835773213823.75,829178972033.759,792621800475.08,706269738674.223,768683083609.037,838091886093.454,912276929668.686,985689236302.599,1074476681421.66,1118070705029.3,1051897409980.83,1158406210935.09,1227956360246.09,1215352364993.03,1244585524448.65,1213313877880.72,1246451419104.46,1220521143173.66,1254921567938.2,1222075295207.81,1197623267200.44,1079052757506.56,1191725417699.43,1263476170672.42,1240028731129.33,1223376004342.6
51,"ARM","Armenia",21801542439.2043,19250762304.759,11203943132.7907,10217996272.3038,10769768354.9844,11512882201.2876,12188158880.2036,12592937350.635,13512221775.6837,13958125094.3598,14781654475.3627,16200693304.8905,18339184820.8016,20906670695.9981,23101871118.8312,26313031204.1439,29786351322.9505,33867081454.6554,36203910075.1721,31099158754.3195,31783340246.9814,33277157238.1681,35673112559.6373,36850325274.1053,38176936984.1905,39398598967.2899,39477396165.156,42438200878.1907,44644987323.7094,48038006359.6591,44579269902.145,47164867556.762,53107640868.8087,57515575060.7049,60908993989.5524
533,"ABW","Aruba",2074802538.63492,2240016403.48547,2371782096.95312,2545104657.04574,2753902530.91639,2824048385.38005,2857535626.68876,3058902590.16516,3119835454.0732,3158460322.39841,3399227246.51454,3541382985.38743,3507918563.58589,3546874160.57922,3805573516.87108,3790992931.08987,3833733019.99881,3952177903.24836,4024730213.51047,3554732628.36121,3457565547.87583,3574059131.98348,3536860328.67059,3764332114.51418,3818015203.70139,3955902057.40891,4004731155.84984,4144633629.57693,4277778787.92377,4330186379.95047,3295358879.02298,3780785538.74098,4182926182.33152,4505295870.27862,4812141511.37331
