"code","iso","country","GPC.raw.1990","GPC.raw.1991","GPC.raw.1992","GPC.raw.1993","GPC.raw.1994","GPC.raw.1995","GPC.raw.1996","GPC.raw.1997","GPC.raw.1998","GPC.raw.1999","GPC.raw.2000","GPC.raw.2001","GPC.raw.2002","GPC.raw.2003","GPC.raw.2004","GPC.raw.2005","GPC.raw.2006","GPC.raw.2007","GPC.raw.2008","GPC.raw.2009","GPC.raw.2010","GPC.raw.2011","GPC.raw.2012","GPC.raw.2013","GPC.raw.2014","GPC.raw.2015","GPC.raw.2016","GPC.raw.2017","GPC.raw.2018","GPC.raw.2019","GPC.raw.2020","GPC.raw.2021","GPC.raw.2022","GPC.raw.2023","GPC.raw.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784414,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.69206715302,2958.7853992308,2952.99891598909,2902.39211285547,2927.24514353531,2769.68574507112,2144.16657002819,1981.71016810561,1983.81261992909,1962.07043810012
8,"ALB","Albania",5560.85699566407,4027.9055107853,3761.15540576541,4145.91969834496,4517.79881384115,5151.39732484422,5563.79315082011,4943.00399871117,5387.56822958917,6086.00863561374,6582.01638790868,7232.99054955266,7590.49000137636,8025.28131314896,8483.29399553027,8964.31799702861,9564.0292033684,10262.9667962049,11056.3517677907,11430.6220336089,11829.0532917923,12153.1140578808,12293.0017496778,12525.799036999,12832.9481097879,13157.08668305,13693.2640721304,14155.8514986386,14711.8262056364,15079.3716783139,14663.6363815082,16127.7023128231,17112.9523041359,18005.7066189082,18950.592788858
12,"DZA","Algeria",11728.5457286791,11314.8647351204,11241.4154173758,10743.7063534104,10414.0348241407,10588.4433695754,10808.8788666941,10725.9673493368,11094.8875368585,11292.0372997164,11558.220469383,11742.5946761225,12213.1263531246,12835.1814413331,13226.7650481164,13738.4956444361,13920.6940553701,14114.6745192683,14206.7767147039,14104.42817214,14496.4211312996,14641.9640935685,14697.5396133853,14778.1914257233,15073.7629403565,15239.5171456469,15511.6858768094,15427.6641894713,15343.4261222434,15199.1989965639,14194.1557479619,14496.8654697299,14782.2002970247,15159.3242373415,15501.9197003966
20,"AND","Andorra",50036.300775756,47624.9668573542,45246.53307101,42605.659583245,42716.3656353999,44375.0247238159,46386.0912022485,50032.3529125128,51092.2222352218,52921.0452609846,54809.1441679423,59109.0136806378,61188.6370851474,63656.1958332185,64353.4858113531,65114.8053663022,66390.293726491,65534.1168555171,60691.6051530637,57203.9708883732,58285.0577756981,60470.4662377044,58172.1323929474,57332.1585611365,59929.24446705,62105.1542389675,64402.8092369467,63239.6577711911,63048.5985572833,63215.8997919129,55488.4902991095,59332.2029100128,63913.3835079105,64631.2963909271,65928.3071971004
24,"AGO","Angola",8368.72287865566,8172.50539080906,7447.49422684139,5483.27751126365,5379.47533872492,5983.18421691117,6567.67778259899,6810.21622212226,6895.02600537714,6817.05713550011,6796.40633958015,6848.68325514498,7523.81291488045,7518.88948314507,8081.75707952674,8895.37660461037,9588.82238860962,10437.5899897179,11134.7047183666,10933.2712187989,11077.1301919405,11037.6388778577,11519.9933863364,11626.1877218484,11721.664415634,11392.9059344932,10805.7122533667,10414.2358842987,10000.9443772509,9648.01103767179,8960.33797242389,8862.2813331452,8950.14259255142,8788.26106439635,8901.88736611562
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",21074.57643609,21424.2911871461,21330.2731918527,22051.4373204262,23081.6639123528,21639.6020640854,22597.3145068161,23350.309386517,23996.1144041366,24462.2034022412,25547.6120273678,24014.7754593511,23958.1638142071,25136.001691807,26303.6179046605,27692.634871178,30827.3416754915,33245.2678606766,32756.3067839753,28405.6900929524,25826.6086383235,25023.9174488178,25592.9066121735,25206.8458285339,25557.5249124716,25734.1516444171,26627.7145389401,27199.1952402262,28878.6067675471,29651.8641526705,23930.6714995115,25745.4958067746,27941.7851474762,28474.0444178181,29371.637778586
32,"ARG","Argentina",17007.2844317191,18295.6091996812,19476.2840606477,20791.3451479504,21711.8427880909,20819.4999479903,21695.5949515371,23172.1583398342,23783.1017185449,22714.5111302701,22281.3814299958,21066.4581290433,18571.7020471274,20005.1385113465,21591.449396517,23262.4075792816,24877.2493922295,26850.6645932771,27658.4853446831,25747.1976809996,28056.2570212342,29425.7593876083,28825.9666865361,29227.6601818437,28200.8152571318,28669.2061336796,27802.1057201496,28334.9041847421,27367.115094108,26629.5529419501,23877.0931404855,26300.274261175,27825.0273492566,27230.3968496683,26771.965765057
51,"ARM","Armenia",6137.60045786759,5326.75285558237,3136.72428260526,2958.88037185646,3200.89649468568,3480.75593652509,3717.33576522763,3879.17938009678,4211.51276778797,4406.96706718616,4589.00825039977,5044.11647826468,5731.35346609213,6569.26023440632,7299.40001858864,8362.90084037119,9525.2314677978,10898.8483795634,11727.4821272949,10143.2350796867,10438.5641904169,10990.177099035,11796.2741177994,12194.0189523843,12667.3757330249,13112.7600902915,13192.9940731731,14243.8749003795,15037.0452420712,16215.3607965094,15052.9359791136,15921.705281964,17886.1783877168,19402.7510915578,20078.7848984844
533,"ABW","Aruba",33063.0015877316,33993.2075313444,34371.1629150514,34540.3359848781,35490.7214500469,35386.8602892056,34419.4315497134,35444.5787437592,35271.9070906287,35227.4765767899,37524.0346018738,38729.4588237779,38098.9048329158,38086.0123762909,40000.5625183531,38828.2166342999,38566.8026759098,39462.5851547515,39881.5879733887,34986.1484622772,33951.6246182744,34837.9402869987,33972.3401082566,35621.7848546409,35746.8630679767,36660.631080838,36832.9040242979,38116.8310992498,39278.8297271437,39652.632070094,30347.6371851417,35104.7868035374,38979.8358245412,41964.7711908514,44712.5316971429
