"code","iso","country","KG5.raw.2020","KG5.raw.2021","KG5.raw.2022","KG5.raw.2023","KG5.raw.2024"
4,"AFG","Afghanistan",3801.0695107989,3645.86158832014,3394.61365772858,2835.07063730881,2481.28794197291
8,"ALB","Albania",879.367256530374,1025.76335475892,1159.03397095799,1182.31314239725,948.194834935665
12,"DZA","Algeria",1430.97147639394,1637.17974596173,1475.07210831642,1113.32982939556,1233.23670335785
20,"AND","Andorra",11.8836266383529,20.8219856567681,22.7942814551294,24.7895196132362,33.6267103880644
24,"AGO","Angola",12749.3747503549,12925.8531827167,12792.7715922162,12852.9247216687,14832.5319720134
660,"AIA","Anguilla",NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",3.39382180869579,3.27688952535391,3.52539142668247,3.5695826664567,3.62958980500698
32,"ARG","Argentina",46343.1042852014,55805.2562827751,69969.9651076429,80631.465077991,96204.4215501502
51,"ARM","Armenia",4093.21870017499,4737.26352204084,4682.03102454394,4591.21505373269,4957.96590466946
533,"ABW","Aruba",7.45561155229807,7.81650210767984,9.01899114400148,10.8226855888963,13.0772963270545
36,"AUS","Australia",28713.7130444296,28569.59067095,31142.4555035502,31991.5507181101,30807.2220650204
40,"AUT","Austria",471.647308957577,619.735263774544,613.963245908916,609.436673535407,642.35821025297
31,"AZE","Azerbaijan",1055.41223869473,1294.13771561384,1345.57095327526,1424.92245853245,1604.49539100826
44,"BHS","Bahamas",746.617125490308,855.789518582821,916.837339392304,864.633516715467,835.555170612037
48,"BHR","Bahrain",0.138753268122673,0.166498036682606,0.166498036682606,0.166498036682606,0.180369772017002
50,"BGD","Bangladesh",56.2288319855928,67.9405861899257,87.1537877395749,205.04521638304,280.102386018634
52,"BRB","Barbados",5.30861036032438,7.60305401682854,7.28818804174662,8.02308310419321,7.60319305211306
112,"BLR","Belarus",NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA
84,"BLZ","Belize",428.184788121283,473.898529192805,626.809458340704,615.74475697577,578.171472989023
204,"BEN","Benin",6953.40454112589,6647.82167760283,6552.27472258657,6469.78625335395,7032.85943854302
60,"BMU","Bermuda",NA,NA,NA,NA,NA
64,"BTN","Bhutan",143.597237464786,160.616898401082,163.32066103667,176.342510958016,231.288680697978
68,"BOL","Bolivia",88750.5251731753,84242.6400317296,70357.4826730594,49469.7322765782,54578.2918021232
70,"BIH","Bosnia and Herzegovina",63.9711938284338,67.1347258210182,71.2621216505766,60.6985989786684,53.8621099635959
72,"BWA","Botswana",5790.52284336835,6401.70693539232,6000.74794743806,5658.34653078616,6551.96684068292
76,"BRA","Brazil",155483.919691333,163825.376639058,156270.041402034,152372.417384689,159502.794181433
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA
100,"BGR","Bulgaria",2285.71210685149,2653.13297296613,2711.08466758281,2693.93610873967,2659.26470913962
854,"BFA","Burkina Faso",11958.9896767944,12450.0825099528,11905.3859619021,11367.4822278351,12573.7974111602
108,"BDI","Burundi",0.0767172783613205,0.0767172783613205,0.0153434589505196,0.0307319581508636,0.0307319581508636
132,"CPV","Cabo Verde",36.9175879821181,35.8260530546308,30.4460965320468,25.2902327179909,22.9805060401559
116,"KHM","Cambodia",636.966872875392,754.223355671763,849.083495502174,904.438183476031,888.543590991199
