"code","iso","country","KGA.raw.2000"
4,"AFG","Afghanistan",860632.87786684
8,"ALB","Albania",58512.0381007446
12,"DZA","Algeria",516971.921607257
20,"AND","Andorra",17553.1307493164
24,"AGO","Angola",4514251.29603483
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",83.4005410461426
32,"ARG","Argentina",10251388.4472481
51,"ARM","Armenia",451742.185780512
533,"ABW","Aruba",651.745833758544
36,"AUS","Australia",11351395.7791039
40,"AUT","Austria",140878.29067959
31,"AZE","Azerbaijan",392207.263343347
44,"BHS","Bahamas",104489.161559509
48,"BHR","Bahrain",5.4872651550293
50,"BGD","Bangladesh",106.462675164795
52,"BRB","Barbados",10.3470460266113
112,"BLR","Belarus",NA
56,"BEL","Belgium",NA
84,"BLZ","Belize",3582.10266120606
204,"BEN","Benin",243734.773743024
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",158407.400308526
68,"BOL","Bolivia",6725842.37240973
70,"BIH","Bosnia and Herzegovina",766.921250408935
72,"BWA","Botswana",12592900.9300445
76,"BRA","Brazil",7111823.48279961
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",NA
100,"BGR","Bulgaria",77544.6395080201
854,"BFA","Burkina Faso",485285.556099627
108,"BDI","Burundi",0
132,"CPV","Cabo Verde",18116.9924814697
116,"KHM","Cambodia",2797.69675048218
120,"CMR","Cameroon",132643.248953235
124,"CAN","Canada",12139642.6812953
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",189570.583276336
148,"TCD","Chad",3015119.07613551
152,"CHL","Chile",1517004.17921408
156,"CHN","China",31468147.5502048
170,"COL","Colombia",1105559.70345212
174,"COM","Comoros",552.356366003418
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",779.319011694335
384,"CIV","Cote d'Ivoire",30795.4650172485
191,"HRV","Croatia",8958.79181403809
192,"CUB","Cuba",23770.5056192139
531,"CUW","Curacao",1223.95896317749
196,"CYP","Cyprus",802.662789111328
203,"CZE","Czechia",715.048102853395
180,"COD","Dem. Rep. Congo",2721881.70638002
208,"DNK","Denmark",1036.17130378418
262,"DJI","Djibouti",9990.47387175291
212,"DMA","Dominica",NA
214,"DOM","Dominican Republic",2638.91145501709
218,"ECU","Ecuador",500498.265941351
818,"EGY","Egypt",263.542766168213
222,"SLV","El Salvador",206.402209698486
226,"GNQ","Equatorial Guinea",1.07636431884766
232,"ERI","Eritrea",238820.087245276
233,"EST","Estonia",2479.03917561645
748,"SWZ","Eswatini",7425.53771506347
231,"ETH","Ethiopia",4213512.82206484
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",84.1010868347168
246,"FIN","Finland",466885.148393284
250,"FRA","France",178989.308802774
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",407647.58203562
270,"GMB","Gambia",4328.75203765869
268,"GEO","Georgia",647142.872068958
276,"DEU","Germany",11539.8819880554
288,"GHA","Ghana",37098.8991747925
300,"GRC","Greece",157092.032599225
304,"GRL","Greenland",NA
308,"GRD","Grenada",NA
320,"GTM","Guatemala",12552.2235962341
831,"GGY","Guernsey",NA
324,"GIN","Guinea",894.358303955078
624,"GNB","Guinea-Bissau",2983.93401377564
328,"GUY","Guyana",1.22593030395508
332,"HTI","Haiti",914.56659126587
336,"VAT","Holy See",NA
340,"HND","Honduras",36767.2367723328
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",NA
352,"ISL","Iceland",595621.753443991
356,"IND","India",808241.539763397
360,"IDN","Indonesia",183367.175746417
364,"IRN","Iran",1549402.96455195
368,"IRQ","Iraq",256265.961414173
372,"IRL","Ireland",44621.29941828
833,"IMN","Isle of Man",NA
376,"ISR","Israel",11.5283078735352
380,"ITA","Italy",337030.852632642
388,"JAM","Jamaica",123.146261590576
392,"JPN","Japan",18963.0690285095
832,"JEY","Jersey",NA
400,"JOR","Jordan",3607.09597178955
398,"KAZ","Kazakhstan",11568539.3220864
404,"KEN","Kenya",2263004.14949959
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",12.2432829772949
417,"KGZ","Kyrgyzstan",333822.665322741
418,"LAO","Laos",365.636390710449
428,"LVA","Latvia",NA
422,"LBN","Lebanon",116020.898896777
426,"LSO","Lesotho",191570.019687091
430,"LBR","Liberia",62.5422420104981
434,"LBY","Libya",425282.424873059
438,"LIE","Liechtenstein",53.4781725708007
440,"LTU","Lithuania",27.2142454467773
442,"LUX","Luxembourg",NA
446,"MAC","Macao",NA
450,"MDG","Madagascar",1722830.50108367
454,"MWI","Malawi",122036.834245972
458,"MYS","Malaysia",347.464808001709
462,"MDV","Maldives",NA
466,"MLI","Mali",468091.464265381
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",80359.6434663575
480,"MUS","Mauritius",NA
484,"MEX","Mexico",5002715.6982317
583,"FSM","Micronesia",NA
498,"MDA","Moldova",NA
492,"MCO","Monaco",NA
496,"MNG","Mongolia",3659198.55224221
499,"MNE","Montenegro",17725.3874630127
504,"MAR","Morocco",687734.551683825
508,"MOZ","Mozambique",722234.628454572
104,"MMR","Myanmar",79197.075449939
516,"NAM","Namibia",3129469.20973881
520,"NRU","Nauru",NA
524,"NPL","Nepal",368734.898488525
528,"NLD","Netherlands",2264.86174028321
540,"NCL","New Caledonia",1667.29671459961
554,"NZL","New Zealand",88129.3096582947
558,"NIC","Nicaragua",4120.18958695069
562,"NER","Niger",925945.385156253
566,"NGA","Nigeria",136561.037326263
570,"NIU","Niue",NA
408,"PRK","North Korea",11968.7509351257
807,"MKD","North Macedonia",85507.2316943299
578,"NOR","Norway",1000428.96970867
512,"OMN","Oman",110435.281093634
586,"PAK","Pakistan",387098.86829862
585,"PLW","Palau",NA
591,"PAN","Panama",540.829109466553
598,"PNG","Papua New Guinea",126624.573558093
600,"PRY","Paraguay",230755.718042071
604,"PER","Peru",5073571.60806086
608,"PHL","Philippines",1905.28715667114
616,"POL","Poland",1240.92991462097
620,"PRT","Portugal",9258.18191913453
634,"QAT","Qatar",16.4018381774902
178,"COG","Republic of Congo",755387.555985101
642,"ROU","Romania",36552.3909610901
643,"RUS","Russia",34740100.3325002
646,"RWA","Rwanda",169.184820391846
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",NA
882,"WSM","Samoa",NA
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",147156.198453931
686,"SEN","Senegal",1282300.95990519
688,"SRB","Serbia",51348.6207611694
690,"SYC","Seychelles",1285.61168023071
694,"SLE","Sierra Leone",185.165436004639
702,"SGP","Singapore",112.056562316895
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",9115.54199179382
705,"SVN","Slovenia",11365.1753645203
90,"SLB","Solomon Islands",NA
706,"SOM","Somalia",1835790.33686177
710,"ZAF","South Africa",18773786.5954008
410,"KOR","South Korea",466.845154174804
728,"SSD","South Sudan",5467126.98672735
724,"ESP","Spain",688949.179139661
144,"LKA","Sri Lanka",952.647555957031
670,"VCT","St. Vincent and the Grenadines",NA
275,"PSE","State of Palestine",207.896271063232
729,"SDN","Sudan",3098754.79910217
740,"SUR","Suriname",94902.9466626523
752,"SWE","Sweden",699359.120780515
756,"CHE","Switzerland",96411.8611398072
760,"SYR","Syria",166244.823127686
158,"TWN","Taiwan",267.951028118896
762,"TJK","Tajikistan",183606.25324256
834,"TZA","Tanzania",5672428.27044269
764,"THA","Thailand",403.619207739258
626,"TLS","Timor-Leste",7053.52009199829
768,"TGO","Togo",73763.1662432739
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",NA
788,"TUN","Tunisia",4080.908230896
792,"TUR","Turkiye",4683770.35759496
795,"TKM","Turkmenistan",1024006.11044749
796,"TCA","Turks and Caicos Islands",9904.67477033081
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",158004.478214831
804,"UKR","Ukraine",20389.9872883423
784,"ARE","United Arab Emirates",631.900633251953
826,"GBR","United Kingdom",1133225.44280339
840,"USA","United States of America",13059996.5403624
858,"URY","Uruguay",1790549.91016881
860,"UZB","Uzbekistan",1458416.65947664
548,"VUT","Vanuatu",70.5849858215332
862,"VEN","Venezuela",2009363.40510016
704,"VNM","Viet Nam",58.5608724182129
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",164815.457086188
894,"ZMB","Zambia",3880186.5545642
716,"ZWE","Zimbabwe",1059646.93405193
