"code","iso","country","LDA.raw.2005","LDA.raw.2006","LDA.raw.2007","LDA.raw.2008","LDA.raw.2009","LDA.raw.2010","LDA.raw.2011","LDA.raw.2012","LDA.raw.2013","LDA.raw.2014","LDA.raw.2015","LDA.raw.2016","LDA.raw.2017","LDA.raw.2018","LDA.raw.2019","LDA.raw.2020","LDA.raw.2021","LDA.raw.2022","LDA.raw.2023"
4,"AFG","Afghanistan",65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223
8,"ALB","Albania",2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740,2740
12,"DZA","Algeria",238174,238174,238174,238174,238174,238174,238174,238174,238174,238174,238174.1,238174.1,238174.1,238174.1,238174,238174,238174,238174,238174
20,"AND","Andorra",47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
24,"AGO","Angola",124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670,124670
660,"AIA","Anguilla",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
28,"ATG","Antigua and Barbuda",44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
32,"ARG","Argentina",273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669,273669
51,"ARM","Armenia",2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2847,2819.741,2819.709,2819.832,2819.944
533,"ABW","Aruba",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
36,"AUS","Australia",768234,768234,768234,768234,768234,768234,768234,768234,768234,768234,768234,769206,769206,769206,769206,769206,769206,769206,769206
40,"AUT","Austria",8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252
31,"AZE","Azerbaijan",8266,8263.7,8262.9,8262.7,8262.2,8265.6,8265.8,8265.8,8265.9,8266.3,8266.3,8267,8266.2,8265.4,8265.4,8264.6,8265,8265,8265
44,"BHS","Bahamas",1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
48,"BHR","Bahrain",74,74,75,76,76,76.2,76.7,77,77,77.1,77.8,77.9,78,77.8,78,78.5,79,79,80
50,"BGD","Bangladesh",13017,13017,13017,13017,13017,13017,13017,13017,13017,13017,13017,13017,13017,13017,13017,13017,13017,13026,12998
52,"BRB","Barbados",43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
112,"BLR","Belarus",20283.3,20290.4,20290.1,20290.2,20289.8,20290.2,20291,20289.9,20290.8,20297.3,20297.8,20298.8,20298.8,20298,20296.5,20298,20295,20299,20298.3
56,"BEL","Belgium",3033.3,3033.3,3033.3,3033.3,3033.3,3033.3,3033.3,3033.3,3033.3,3033.3,3033.3,3033.3,3033.3,3049.3,3049.4,3049.4,3049.4,3049.4,3049.4
84,"BLZ","Belize",2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281,2281
204,"BEN","Benin",11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276,11276
60,"BMU","Bermuda",5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
64,"BTN","Bhutan",3811.7,3811.7,3811.7,3811.7,3811.7,3811.7,3811.7,3811.7,3811.7,3811.7,3811.7,3814.4,3814.4,3814,3814,3814,3814,3814,3814
68,"BOL","Bolivia",108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330,108330
70,"BIH","Bosnia and Herzegovina",5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120
72,"BWA","Botswana",56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673,56673
76,"BRA","Brazil",835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814,835814
92,"VGB","British Virgin Islands",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
96,"BRN","Brunei Darussalam",527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527,527
100,"BGR","Bulgaria",10864,10863,10861,10861,10856,10856,10856,10856,10856,10856,10856,10856,10856,10856,10856,10856,10856,10856,10856
854,"BFA","Burkina Faso",27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360,27360
108,"BDI","Burundi",2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568,2568
132,"CPV","Cabo Verde",403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403,403
116,"KHM","Cambodia",17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652
120,"CMR","Cameroon",47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271,47271
124,"CAN","Canada",896559,896559,896559,896559,896559,896559,896559,896559,896559,896559,896559,896559,896559,896559,896559,896559,878870,878870,878870
136,"CYM","Cayman Islands",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
140,"CAF","Central African Republic",62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298,62298
148,"TCD","Chad",125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920,125920
152,"CHL","Chile",74353.2,74353.2,74353.2,74353.2,74353.2,74353.2,74353.2,74353.2,74353.2,74168.276,74168.276,74228.676,74228.676,74228.676,74283.164,74283.164,74283.164,74283.164,74283.164
156,"CHN","China",938821.18,938821.14,938821.08,938821.08,938821.1,938821.1,938821.1,938821.1,938821.1,938821.1,938821.1,938821,938821,938821,938821,938821,938821,938821,938821
170,"COL","Colombia",110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950,110950
174,"COM","Comoros",186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1
184,"COK","Cook Islands",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
188,"CRI","Costa Rica",5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106,5106
384,"CIV","Cote d'Ivoire",31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800,31800
191,"HRV","Croatia",5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596.4,5596,5596,5596,5596
192,"CUB","Cuba",10644,10643,10644,10644,10644,10644,10686.3,10664.9,10422,10402,10410,10404,10380,10380,10380,10380,10380,10380,10380
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4
196,"CYP","Cyprus",924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924,924
203,"CZE","Czechia",7726,7725,7725,7724,7724,7723,7723,7723,7722,7722,7721,7721,7721,7721,7720.55,7719.853,7718.683,7717.173,7716.731
180,"COD","Dem. Rep. Congo",226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705,226705
208,"DNK","Denmark",4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
262,"DJI","Djibouti",2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318,2318
212,"DMA","Dominica",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
214,"DOM","Dominican Republic",4831,4831,4831,4831,4831,4831,4831,4831,4831,4831,4831,4831,4831,4831,4819.802,4819.802,4819.802,4819.802,4819.802
218,"ECU","Ecuador",24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836,24836
818,"EGY","Egypt",99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545,99545
222,"SLV","El Salvador",2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072
226,"GNQ","Equatorial Guinea",2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805
232,"ERI","Eritrea",12102.5326,12100.4031,12103.2606,12105.7494,12106.9592,12106.5103,12108.8989,12108.212,12104.9278,12103.6185,12108.8775,12107.7459,12107.1233,12107.7714,12108.0546,12104.0829,12117.82,12117.82,12117.82
233,"EST","Estonia",4239,4239,4239,4239,4239,4239,4239,4239,4347,4347,4347,4347,4275,4275,4275,4275,4275,4273,4273
748,"SWZ","Eswatini",1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
231,"ETH","Ethiopia",112859.98,112861.32,112863.12,112856.83,112858.86,112857.1,112857.51,112858.21,112857.21,112853.83,112853.94,112855.85,112855.28,112856.14,112857.09,112857.14,112850.56,112849.88,112849.88
234,"FRO","Faeroe Islands",139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,139.6,136.6,137,137,137
238,"FLK","Falkland Islands",1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217
