"code","iso","country","LUE.raw.1990","LUE.raw.1991","LUE.raw.1992","LUE.raw.1993","LUE.raw.1994","LUE.raw.1995","LUE.raw.1996","LUE.raw.1997","LUE.raw.1998","LUE.raw.1999","LUE.raw.2000","LUE.raw.2001","LUE.raw.2002","LUE.raw.2003","LUE.raw.2004","LUE.raw.2005","LUE.raw.2006","LUE.raw.2007","LUE.raw.2008","LUE.raw.2009","LUE.raw.2010","LUE.raw.2011","LUE.raw.2012","LUE.raw.2013","LUE.raw.2014","LUE.raw.2015","LUE.raw.2016","LUE.raw.2017","LUE.raw.2018","LUE.raw.2019","LUE.raw.2020","LUE.raw.2021","LUE.raw.2022","LUE.raw.2023","LUE.raw.2024"
4,"AFG","Afghanistan",2085.78085333333,2024.64090666667,264.992693333333,-959.332906666667,-537.740853333333,107.220853333333,1755.92314666667,3962.99461333333,1762.10309333333,2471.90538666667,2015.7496,2585.00085333333,5021.10896,5088.08688,3632.95370666667,2847.73408,2726.72437333333,2626.15978666667,2472.93130666667,2307.81925333333,1931.25776,1702.78293333333,1554.452,1544.04624,1610.56005333333,1686.356,1752.52784,4602.92442666667,3356.50490666667,6337.65744,4832.16869333333,3597.77930666667,5985.54704,7346.34442666667,8096.04768
8,"ALB","Albania",1021.91402666667,959.650453333333,729.61232,218.33776,-130.096426666667,-162.437333333333,-246.269653333333,-270.903946666667,-140.428906666667,-353.06304,-628.571413333333,-655.08656,-777.879413333333,-221.15904,-1098.24736,2040.46938666667,-71.7899733333333,3052.49061333333,1898.79472,803.942666666667,456.436693333333,571.974826666667,528.05568,463.42272,543.395626666667,1108.16458666667,514.792,472.4728,242.056053333333,26.1976,-218.643093333333,-208.73808,-375.59664,-508.78304,-620.583893333333
12,"DZA","Algeria",6371.42730666667,14504.6523733333,7041.25536,4730.35834666667,2499.50752,5043.55706666667,3343.68090666667,2674.56122666667,1673.22666666667,760.157866666667,1724.11962666667,2218.61306666667,2738.88885333333,3258.65168,1653.91738666667,909.026186666667,451.73456,280.198293333333,429.616213333333,303.23264,98.7448000000002,-81.9636799999999,-221.403306666667,296.063413333333,-117.345706666667,-189.147893333333,37.81248,224.334506666667,1541.50586666667,302.695253333333,-206.17328,723.78656,661.596266666667,660.851253333333,603.924906666667
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",13350.7854933333,16006.14736,14257.24688,14245.11904,16843.9087466667,17193.0879466667,19109.0179733333,22634.0913066667,25706.5018666667,28464.4557333333,29281.3201066667,39883.9712533333,49745.5906133333,49181.2002666667,47514.82528,49985.6681066667,56061.032,76481.7253333333,109046.563466667,123214.543093333,130626.778453333,112326.979306667,106064.397226667,107606.709173333,104940.03776,110540.999146667,100098.000693333,99030.2256,90116.48304,82636.1461333333,77595.0439466667,75679.2482666667,77263.4885866667,76346.51152,76307.78304
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",-50.23344,-48.4136533333333,-45.6778666666667,-44.1023466666667,-42.57568,-40.4261333333333,-38.5941333333333,-36.8232,-35.1133333333333,-33.8309333333333,-31.7790933333333,-30.48448,-28.0173866666667,-26.82048,-26.564,-25.61136,-23.3274666666667,-19.1016533333333,-15.27888,-19.27264,-19.4436266666667,-19.3337066666667,-17.6482666666667,-9.42869333333333,-14.25296,-15.9384,-14.7903466666667,-6.53413333333333,-11.7492266666667,-13.33696,-13.4346666666667,-13.26368,-11.3828266666667,-10.33248,-9.58746666666667
32,"ARG","Argentina",27317.6603733333,52974.18528,38409.7242133333,32190.29184,30062.8757333333,30150.6896,30944.1898666667,33144.9226133333,35712.53168,34095.9138133333,35527.8538666667,34340.6445866667,115421.007466667,156263.432266667,183663.080746667,192522.05872,187332.73552,95652.3717866667,53604.8696,210212.278186667,148666.091626667,145395.83728,91627.3578666667,63548.85568,109297.4864,70368.65888,69141.43872,47451.58464,63745.2949333333,89541.1373333333,69768.2269866667,86232.7896,82708.2048,82751.8674666667,79504.7207466667
51,"ARM","Armenia",-389.800746666667,-311.207946666667,119.287626666667,461.065546666667,1036.59445333333,1727.90576,1089.35605333333,854.066186666667,544.775733333333,539.536213333333,585.592693333333,1341.18277333333,1719.46634666667,1974.65173333333,3134.552,5046.59818666667,2936.97690666667,2207.27909333333,1885.28677333333,1840.32949333333,1512.81674666667,1448.79445333333,1367.0384,1111.63317333333,885.710933333333,890.46192,797.17648,710.168693333333,606.453066666667,559.676,558.418026666667,627.704266666667,602.447093333333,607.369066666667,520.43456
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
