"code","iso","country","NCR.raw.1961","NCR.raw.1962","NCR.raw.1963","NCR.raw.1964","NCR.raw.1965","NCR.raw.1966","NCR.raw.1967","NCR.raw.1968","NCR.raw.1969","NCR.raw.1970","NCR.raw.1971","NCR.raw.1972","NCR.raw.1973","NCR.raw.1974","NCR.raw.1975","NCR.raw.1976","NCR.raw.1977","NCR.raw.1978","NCR.raw.1979","NCR.raw.1980","NCR.raw.1981","NCR.raw.1982","NCR.raw.1983","NCR.raw.1984","NCR.raw.1985","NCR.raw.1986","NCR.raw.1987","NCR.raw.1988","NCR.raw.1989","NCR.raw.1990","NCR.raw.1991","NCR.raw.1992","NCR.raw.1993","NCR.raw.1994","NCR.raw.1995","NCR.raw.1996","NCR.raw.1997","NCR.raw.1998","NCR.raw.1999","NCR.raw.2000","NCR.raw.2001","NCR.raw.2002","NCR.raw.2003","NCR.raw.2004","NCR.raw.2005","NCR.raw.2006","NCR.raw.2007","NCR.raw.2008","NCR.raw.2009","NCR.raw.2010","NCR.raw.2011","NCR.raw.2012","NCR.raw.2013","NCR.raw.2014","NCR.raw.2015","NCR.raw.2016","NCR.raw.2017","NCR.raw.2018","NCR.raw.2019","NCR.raw.2020","NCR.raw.2021","NCR.raw.2022","NCR.raw.2023"
4,"AFG","Afghanistan","9.7483","9.9191","9.2665","9.8566","10.0185","9.176","10.0265","10.3091","10.7178","9.3901","8.7364","10.2646","11.4548","11.9457","12.3897","12.8468","11.392","11.9955","11.3952","10.7752","10.3568","9.869","9.5827","9.3122","8.7976","8.3896","9.0577","8.0552","7.5915","7.2386","7.8823","7.4001","8.6421","9.1599","9.4306","9.7262","10.7976","11.1343","9.9357","6.5142","6.9499","10.867","12.4166","9.893","15.0766","12.8071","15.9065","11.1018","17.9492","16.4077","13.0578","18.0358","18.3983","19.1685","16.9972","16.8848","14.8892","13.0523","17.0313","18.1274","15.3163","14.8442","16.1105"
8,"ALB","Albania","16.2253","18.1014","17.3475","20.194","18.311","21.2445","22.0455","21.6562","22.3876","22.6552","22.724","23.6513","25.4232","25.6269","25.4272","30.8282","32.0708","32.5301","34.0346","31.8203","32.7993","34.5091","37.7676","36.8528","36.0239","36.9859","36.0736","33.7953","36.8925","30.5731","15.8538","16.1533","23.0211","21.3575","21.4459","17.726","20.6781","21.3322","17.9494","19.9742","18.0441","18.4834","17.244","18.1188","19.5407","18.1952","17.9363","21.9214","22.7767","24.044","24.7486","25.3742","25.3195","25.4792","25.4412","25.4977","25.7357","25.2827","25.183","26.4891","26.3628","27.261","27.2579"
12,"DZA","Algeria","4.3155","8.4208","8.4965","6.1024","6.936","3.5859","6.1041","7.9382","7.0081","7.5792","6.6606","7.9706","5.8295","5.6858","8.7484","7.461","4.3576","5.3581","5.8335","7.9115","6.597","5.4153","5.1206","5.5759","9.753","8.5133","7.6137","4.7319","7.4115","6.0987","11.7906","10.4973","5.9211","4.4973","7.654","14.646","4.43","9.7753","7.6097","4.6498","9.0879","7.5706","13.5884","13.4036","12.2926","13.5483","11.9284","7.6176","17.0319","15.0741","15.904","18.2195","18.6014","15.1803","16.1294","15.6708","15.8052","22.3071","21.7639","19.1375","14.8433","18.192","17.5248"
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola","7.5247","7.9766","7.6314","8.0215","8.1722","8.2528","8.5099","8.5334","9.2482","9.5537","9.5867","8.8175","9.5766","9.3832","7.8726","7.5839","6.7628","6.48","5.7609","5.5235","4.9143","4.9185","5.0063","4.9921","4.9958","5.4236","5.5445","5.365","5.126","4.9833","5.5996","5.8165","5.5715","7.402","6.8591","7.2415","6.88","8.6271","7.9255","9.1568","10.8993","12.2117","12.2214","13.3574","14.9015","14.2953","15.6566","16.3487","18.3937","18.6661","18.788","11.7769","20.1784","17.6206","18.06","18.3328","18.0133","19.0518","19.3483","20.419","20.5004","21.2827","22.3863"
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda","89.4021","108.3482","140.4417","139.7511","87.1484","54.8894","36.3107","12.3215","29.6513","30.7867","75.662","6.9233","7.2646","5.6008","6.7311","6.45","6.2146","6.5353","6.3039","7.225","7.397","8.6187","5.3052","6.3294","9.2235","8.5786","8.9353","9.1953","7.5834","7.9389","8.1574","8.2547","8.1654","8.1415","7.6448","7.8504","7.983","7.9228","8.0908","8.0824","8.0955","8.479","8.6514","8.9212","7.2773","7.6521","8.0718","8.3376","8.4474","8.5357","8.6022","8.3809","8.61","8.6355","8.6512","8.4053","7.728","7.3942","7.2386","7.0366","7.0749","7.1647","7.3563"
32,"ARG","Argentina","20.0736","19.2988","23.0144","25.1756","19.1815","19.7755","20.2712","16.5712","18.1791","18.9094","19.894","18.8482","22.225","22.3922","22.8228","25.4363","24.4129","30.6775","31.412","27.3809","32.1982","38.41","36.1711","42.7932","38.7624","39.1151","35.3617","42.8729","33.5801","44.1033","46.7428","47.3206","44.8597","46.7495","51.8409","51.1212","55.1633","72.0688","69.7303","72.1511","82.2586","87.0292","88.3115","78.4414","89.0676","84.3566","95.1294","99.258","68.1086","97.5031","97.5449","81.1505","93.8211","100.8333","111.0825","108.9497","109.1658","84.8048","111.3545","100.4288","96.8609","94.7104","64.3588"
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.3517","18.3075","15.9395","16.6417","19.177","15.8472","19.523","18.6175","15.2158","21.0201","23.1214","20.3","26.3235","25.8033","19.1139","29.1135","28.2044","26.9361","22.6517","28.7067","31.0081","34.9474","36.8606","38.7587","36.5353","25.1643","23.3514","17.6752","19.7681","15.9852","19.4525","21.4969"
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
