"code","iso","country","NTI.raw.1961","NTI.raw.1962","NTI.raw.1963","NTI.raw.1964","NTI.raw.1965","NTI.raw.1966","NTI.raw.1967","NTI.raw.1968","NTI.raw.1969","NTI.raw.1970","NTI.raw.1971","NTI.raw.1972","NTI.raw.1973","NTI.raw.1974","NTI.raw.1975","NTI.raw.1976","NTI.raw.1977","NTI.raw.1978","NTI.raw.1979","NTI.raw.1980","NTI.raw.1981","NTI.raw.1982","NTI.raw.1983","NTI.raw.1984","NTI.raw.1985","NTI.raw.1986","NTI.raw.1987","NTI.raw.1988","NTI.raw.1989","NTI.raw.1990","NTI.raw.1991","NTI.raw.1992","NTI.raw.1993","NTI.raw.1994","NTI.raw.1995","NTI.raw.1996","NTI.raw.1997","NTI.raw.1998","NTI.raw.1999","NTI.raw.2000","NTI.raw.2001","NTI.raw.2002","NTI.raw.2003","NTI.raw.2004","NTI.raw.2005","NTI.raw.2006","NTI.raw.2007","NTI.raw.2008","NTI.raw.2009","NTI.raw.2010","NTI.raw.2011","NTI.raw.2012","NTI.raw.2013","NTI.raw.2014","NTI.raw.2015","NTI.raw.2016","NTI.raw.2017","NTI.raw.2018","NTI.raw.2019","NTI.raw.2020","NTI.raw.2021","NTI.raw.2022","NTI.raw.2023"
4,"AFG","Afghanistan","12.4845","12.628","12.8657","13.0184","13.3426","13.695","14.7808","15.8691","16.0754","16.3772","16.8546","14.9728","15.3797","17.0086","18.4429","19.1893","19.8107","19.2544","18.5951","20.0191","18.1443","19.462","18.4587","19.5966","18.9136","17.0702","17.9364","18.0975","17.914","19.8489","17.1051","16.2684","16.575","12.983","12.5269","13.2304","12.4263","12.8371","13.4007","11.839","12.8569","13.808","13.6717","14.1578","14.7845","15","14.6743","15.8561","16.5602","17.7291","19.0262","18.2379","18.8847","22.8576","25.841","28.3059","35.1819","27.7346","27.8541","25.6554","19.6029","17.4981","20.901"
8,"ALB","Albania","60.8018","57.3567","57.5181","56.796","57.8835","58.838","65.7123","83.0931","75.9095","89.1009","96.816","96.8357","102.1647","102.117","101.4467","114.8268","122.7637","156.4603","157.0813","154.4789","160.2096","157.6668","160.9019","163.0519","161.6118","163.9281","154.7001","161.8366","179.6407","167.0079","91.9565","79.9239","82.4294","92.1824","89.825","81.4273","74.7923","92.0333","76.0847","82.4786","82.153","110.5574","103.7271","112.6197","102.329","98.4959","97.5324","89.743","93.3803","90.0253","96.6569","103.4999","92.8869","101.8782","108.0582","108.7582","105.4057","93.1134","107.9092","97.4227","90.6015","79.1532","83.5166"
12,"DZA","Algeria","4.9896","6.1092","6.6142","6.4104","6.1911","6.7671","6.5691","7.2783","9.2341","11.2431","16.6411","16.4476","17.051","14.4583","12.475","13.488","13.6859","13.9444","14.2303","17.4044","14.2086","13.0848","15.1959","19.0399","21.0567","23.09","19.7876","14.6973","13.9379","15.6076","13.6593","14.1056","17.4561","15.4297","10.5476","9.863","13.6918","15.1405","15.1132","13.826","14.7","13.7772","13.651","18.5204","12.6096","15.4738","14.3431","12.3399","14.3589","17.1719","16.8012","19.0403","18.8567","22.5136","22.9601","21.8539","21.7189","24.8081","24.2046","22.162","19.8401","21.0973","22.204"
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola","7.1961","7.5984","7.7445","7.8562","8.5177","8.8323","9.3167","9.3551","9.0074","9.5017","11.4071","11.7309","11.3403","10.5676","9.2544","9.3024","13.057","12.21","12.3508","12.3067","11.088","10.6681","11.354","11.4505","14.5088","12.517","12.1149","12.3394","13.675","11.2205","11.5288","11.8432","11.8954","13.814","12.6664","12.1208","13.1965","14.6378","13.3751","13.3339","15.1324","15.6213","16.4545","19.3022","18.9411","19.7021","21.2832","23.7335","24.0653","26.4203","25.6577","23.4798","27.749","30.6678","30.6381","28.0725","28.5267","27.6393","26.7313","28.4858","27.9683","31.1148","29.9395"
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda","38.4809","43.0906","43.8687","43.9293","46.1255","37.1872","38.3529","36.4879","40.236","41.0241","48.6836","38.9565","39.2215","33.7017","32.8536","33.6708","35.5976","41.6253","49.4969","54.4778","51.0847","52.6129","53.2121","63.4038","67.3219","67.5115","67.6031","68.2487","63.9363","63.0128","73.5743","73.9672","74.1282","74.3521","73.9933","64.4357","64.7157","65.9783","74.6781","68.3028","70.0712","70.7773","76.5146","71.1118","75.0273","73.5077","63.3446","66.6561","68.6277","52.6012","54.8477","59.3609","59.0296","57.5494","53.5571","64.8787","55.4642","50.8155","53.0461","49.5489","49.2621","51.8632","47.3737"
32,"ARG","Argentina","15.3321","15.0168","15.4693","15.9293","16.2327","16.0543","15.79","14.6349","14.9862","14.8841","16.6236","16.9118","18.1173","18.2461","18.418","19.3403","21.2814","23.8945","28.5646","28.881","28.2374","29.0638","29.5172","37.533","37.4741","38.239","38.1975","44.785","37.3099","46.2275","45.5059","48.2322","49.2493","56.5731","59.2116","67.0601","64.9403","76.1163","81.2491","83.1892","98.2117","104.2887","110.6799","109.0635","105.8144","110.3253","119.3443","115.795","99.0459","121.415","120.0564","104.1332","118.4455","124.1833","122.8518","129.8395","121.5955","109.1977","125.9405","121.742","122.3614","115.8931","94.9702"
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.7338","51.8112","35.2868","36.5207","39.1212","39.9317","42.976","36.738","37.96","34.3652","46.1449","38.9756","55.4228","50.9399","86.0732","69.7538","58.7813","76.0699","64.5678","71.0119","92.5654","98.7335","89.3574","103.8503","188.4058","136.9113","76.7652","77.8257","76.2918","64.2455","61.0061","59.1303"
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
