"code","iso","country","PCR.raw.1961","PCR.raw.1962","PCR.raw.1963","PCR.raw.1964","PCR.raw.1965","PCR.raw.1966","PCR.raw.1967","PCR.raw.1968","PCR.raw.1969","PCR.raw.1970","PCR.raw.1971","PCR.raw.1972","PCR.raw.1973","PCR.raw.1974","PCR.raw.1975","PCR.raw.1976","PCR.raw.1977","PCR.raw.1978","PCR.raw.1979","PCR.raw.1980","PCR.raw.1981","PCR.raw.1982","PCR.raw.1983","PCR.raw.1984","PCR.raw.1985","PCR.raw.1986","PCR.raw.1987","PCR.raw.1988","PCR.raw.1989","PCR.raw.1990","PCR.raw.1991","PCR.raw.1992","PCR.raw.1993","PCR.raw.1994","PCR.raw.1995","PCR.raw.1996","PCR.raw.1997","PCR.raw.1998","PCR.raw.1999","PCR.raw.2000","PCR.raw.2001","PCR.raw.2002","PCR.raw.2003","PCR.raw.2004","PCR.raw.2005","PCR.raw.2006","PCR.raw.2007","PCR.raw.2008","PCR.raw.2009","PCR.raw.2010","PCR.raw.2011","PCR.raw.2012","PCR.raw.2013","PCR.raw.2014","PCR.raw.2015","PCR.raw.2016","PCR.raw.2017","PCR.raw.2018","PCR.raw.2019","PCR.raw.2020","PCR.raw.2021","PCR.raw.2022","PCR.raw.2023"
4,"AFG","Afghanistan","1.9162","1.9508","1.8316","1.9425","1.9731","1.8125","1.979","2.0329","2.1109","1.8506","1.725","2.0203","2.2494","2.3475","2.4328","2.5191","2.2314","2.3508","2.2341","2.1127","2.0271","1.9309","1.874","1.8228","1.7217","1.6486","1.7619","1.5767","1.4835","1.4195","1.5543","1.4525","1.6976","1.799","1.8536","1.8894","2.0883","2.155","1.9129","1.2611","1.3442","2.0979","2.3813","1.9264","2.8827","2.4734","3.0523","2.1671","3.4414","3.1539","2.5282","3.4604","3.5317","3.6735","3.2516","3.2222","2.8544","2.5193","3.2952","3.5057","2.9871","2.8999","3.1376"
8,"ALB","Albania","3.5247","3.8872","3.7873","4.5911","3.9708","4.668","4.8412","4.7623","4.8075","4.7138","4.8704","5.0668","5.5102","5.4798","5.5331","6.3993","6.746","6.7192","6.9865","6.3887","6.587","6.8617","7.732","7.3273","7.1959","7.2757","7.268","6.6349","7.3463","5.9773","3.4013","3.2862","4.6228","4.429","4.5491","3.7724","4.3712","4.6189","3.9429","4.2696","3.9607","3.9241","3.7546","4.1938","4.2362","4.0731","3.9035","4.9559","5.3398","5.5937","5.6937","6.212","6.0648","6.186","6.1813","6.2025","6.3661","6.3679","6.1749","6.7546","6.5569","7.1822","6.8482"
12,"DZA","Algeria","0.9622","1.7266","1.7432","1.2902","1.4513","0.8132","1.2823","1.6609","1.4334","1.5565","1.4082","1.6574","1.2077","1.2311","1.8292","1.5935","0.926","1.0939","1.2483","1.5958","1.4421","1.1581","1.1056","1.1594","2.0026","1.8098","1.6116","1.047","1.5131","1.334","2.3344","2.223","1.3123","1.0041","1.5777","3.049","1.1125","1.97","1.7447","1.0914","1.8961","1.6169","2.7455","2.9458","2.624","2.8282","2.4577","1.6884","3.6525","3.1926","3.5913","3.8755","4.1088","3.3764","3.69","3.6423","3.6396","4.9889","4.9086","4.5621","3.4543","4.1899","4.114"
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola","1.2427","1.3057","1.2442","1.3196","1.3425","1.3243","1.3712","1.3996","1.5698","1.6044","1.5757","1.4311","1.5734","1.5887","1.3272","1.3056","1.1435","1.1299","0.9898","0.9524","0.826","0.8376","0.8585","0.8496","0.8412","0.9122","0.9389","0.9044","0.8469","0.8172","0.9459","0.9869","0.9279","1.1533","1.081","1.221","1.1499","1.4383","1.3115","1.4665","1.743","1.9689","1.9839","2.1387","2.4215","2.2766","2.5289","2.588","2.9562","3.0058","3.0489","1.8787","3.2789","3.0479","3.1558","3.2512","3.2069","3.4342","3.481","3.6656","3.6735","3.8109","4.007"
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda","8.0822","9.6224","12.2531","12.1173","7.8708","5.3603","3.7939","1.7211","3.1884","3.3496","7.014","1.5207","1.5827","1.2543","1.4723","1.4209","1.3683","1.4395","1.3941","1.3457","1.398","1.4658","1.2084","1.4183","1.9894","1.8636","1.9353","1.9853","1.6211","1.7032","1.7574","1.7823","1.7659","1.7619","1.6663","1.7052","1.7363","1.7208","1.7594","1.7598","1.7576","1.839","1.8761","1.931","1.5423","1.6301","1.7301","1.7892","1.8119","1.8346","1.8501","1.815","1.8538","1.8556","1.8596","1.807","1.6594","1.5907","1.5618","1.5188","1.5289","1.5388","1.5819"
32,"ARG","Argentina","3.8017","3.6458","4.2634","4.6972","3.5541","3.7649","3.9234","3.1854","3.5344","3.817","4.0217","3.5278","4.3056","4.3649","4.3452","4.74","4.5848","5.6991","5.5205","4.5911","5.8495","6.8664","6.4747","7.1999","6.5362","6.3877","5.6878","6.6505","5.2348","6.5747","7.063","7.2329","6.8689","7.059","7.8983","7.725","8.8046","10.9454","10.2072","10.6948","11.6522","12.0628","11.9213","10.7765","12.2491","11.1983","12.7739","13.4531","9.0774","12.955","13.4354","11.3586","12.8513","13.7384","15.0293","14.9397","15.531","12.5639","16.0244","14.7798","14.4652","14.3168","9.9839"
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.609","3.6082","3.1804","3.3442","3.8166","3.1395","3.871","3.6684","2.9504","4.0975","4.4947","4.0294","5.2344","5.1429","3.8501","5.7726","5.6599","5.3681","4.4538","5.6683","6.1628","6.9035","7.2817","7.606","7.177","5.0335","4.6579","3.5522","3.9895","3.2373","3.8858","4.2876"
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
