"code","iso","country","PPC.raw.1996","PPC.raw.1997","PPC.raw.1998","PPC.raw.1999","PPC.raw.2000","PPC.raw.2001","PPC.raw.2002","PPC.raw.2003","PPC.raw.2004","PPC.raw.2005","PPC.raw.2006","PPC.raw.2007","PPC.raw.2008","PPC.raw.2009","PPC.raw.2010","PPC.raw.2011","PPC.raw.2012","PPC.raw.2013","PPC.raw.2014","PPC.raw.2015","PPC.raw.2016","PPC.raw.2017","PPC.raw.2018","PPC.raw.2019","PPC.raw.2020","PPC.raw.2021","PPC.raw.2022","PPC.raw.2023"
"4","AFG","Afghanistan",NA,NA,0.05,NA,NA,NA,0,0.29,0.46,0.38,0.17,0,0,0.02,0.03,0.23,0.04,0.1,0.16,0.32,0.26,0.47,0.4,0.68,0.64,0.18,0.33,0.39
"8","ALB","Albania",0.31,0.31,2.15,1.47,1.55,2.06,5.8,6.42,7.2,7.52,6.44,6.38,6.01,7.04,7.39,8.02,7.62,7.88,7.89,9.91,11.92,7.34,4.62,5.23,7.97,5.39,1.69,4.19
"12","DZA","Algeria",0.38,1.18,1.02,0.82,0.81,1.12,0.74,0.2,1.77,0.98,0.95,1.53,0.6,1.38,0.91,0.99,1.53,1.86,1.99,1.58,1.44,1.41,1.38,1.36,1.34,1.31,1.29,1.27
"20","AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AGO","Angola",0.14,NA,NA,NA,NA,NA,0.06,0.08,0.2,0.08,0.07,0.12,0.18,0.23,0.37,0.7,0.32,0.36,0.29,0.19,0.22,0.4,0.2,0.31,0.24,0.17,0.5,0.16
"660","AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,0.25,0.44,0.18,0.08,0.06,NA,0.06,0.18,0.05,0.08,0.1,0.12,0.1,0.12,0.07,0.07,0.03,0.14,0.2,0.13,0.08,0
"32","ARG","Argentina",8.64,8.42,8.82,9.25,8.97,8.89,7.54,10.95,14.57,13.09,15.61,19.15,10.79,7.27,16.56,17.37,14.13,14.12,13.04,9.77,14.79,14.46,15.43,16.87,19.22,19.54,19.37,16.04
"51","ARM","Armenia",NA,NA,NA,NA,NA,NA,0,0,0.4,0.01,0,0,0.01,0,0.01,0.14,0.02,0.19,0.95,0.57,0.11,0.01,0.17,0.37,0.37,0.28,0.27,0.25
"533","ABW","Aruba",NA,NA,NA,NA,NA,NA,0.11,0.07,0.04,0.07,0.11,0.11,0.15,0.09,0.18,0.14,0.42,0.18,0.16,0.16,0.14,0.12,0.21,0.11,0.09,0.09,0.06,0.06
"36","AUS","Australia",54.28,59.41,56.03,56.26,58.35,61.81,55.02,51.47,55.72,51.33,48.19,47.26,38.61,29.7,37.2,39.16,38.67,36.25,38.49,38.75,38.97,39.63,38.01,37.57,39.26,49.65,44.66,29.19
"40","AUT","Austria",6.57,7.52,7.18,6.69,6.06,5.87,5.83,5.56,4.82,4.41,4.23,4.57,5.37,2.1,2.64,3.49,3.11,3.5,3.83,3.66,3.55,3.59,3.22,2.98,3.6,2.96,1.71,2.16
"31","AZE","Azerbaijan",NA,0.34,0.35,NA,NA,NA,0.19,0.03,0.04,0.37,0.24,0.15,0.67,0.3,0.23,0.34,0.65,1.05,1.82,0.46,0.05,0.13,0,6.85,5.22,0.53,2.49,2.06
"44","BHS","Bahamas",0.33,0.32,0.32,0.31,0.31,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.83,0.72,1.02,1.08,1.17,0.9,0.95,0.45,0.45,NA,NA
"48","BHR","Bahrain",0.33,0.32,0.48,0.22,0.18,0.14,0.09,0.09,0.08,0.08,0.07,0.11,0.05,0.04,0.05,0.06,0.07,0.08,0.07,0.06,0.11,0.06,0.06,0.09,0.05,0.05,0.04,NA
"50","BGD","Bangladesh",0.94,0.92,1.25,1.57,1.86,1.82,2.32,1.42,1.91,2.26,2.04,1.73,0.73,1.13,1.95,2.6,3.22,3.2,3.58,3.81,3.97,3.96,4.34,4.61,4.49,6.64,6.28,6.04
"52","BRB","Barbados",0.76,0.76,0.76,0.76,0.76,0.76,0.19,1.57,0.04,0.49,2.2,2.11,0.65,1.48,4.2,0.89,2.41,0.03,0.1,0.39,1.2,0.59,0.59,0.38,0.47,0.43,0.43,0.18
"112","BLR","Belarus",9.35,9.88,9.92,2.99,7.51,5.03,7.4,8.87,10.25,13.39,21.31,19.97,18.99,24.37,24.62,30.84,23.38,21.96,16.18,14.23,8.03,8.17,11.04,9.35,10.81,10.47,10.77,12.05
"56","BEL","Belgium",NA,NA,NA,NA,NA,NA,4.18,4.16,4.79,4.76,4.48,4.26,1.49,2.13,2.54,2.25,2.23,2.18,1.49,1.59,1.14,1.1,1.14,1.16,1.12,1.12,1.02,0.81
"84","BLZ","Belize",6.18,11.5,11.99,12.01,7.89,9.26,38.42,17.59,9.2,5.52,11.67,5.27,5.34,8.71,4.07,34.99,10.37,24.56,20.29,31.7,34.93,27.3,32.09,38.04,30.86,31.46,10.57,26.83
