code,iso,country,PRS.raw.2015,PRS.raw.2018
4,AFG,Afghanistan,1.771011517,2.160359725
8,ALB,Albania,1.486171517,1.542040863
12,DZA,Algeria,1.049052172,1.142513684
20,AND,Andorra,0.2012845,0.329800883
24,AGO,Angola,0.132793995,0.098512073
660,AIA,Anguilla,1,1
28,ATG,Antigua and Barbuda,3.178648136,2.646562812
32,ARG,Argentina,2.819918906,3.17213859
51,ARM,Armenia,1.516426964,2.280325455
533,ABW,Aruba,1,1
36,AUS,Australia,1.911786775,1.846428495
40,AUT,Austria,1.113563616,1.279750136
31,AZE,Azerbaijan,0.867974429,1.612283186
44,BHS,Bahamas,3.438956111,3.449446858
48,BHR,Bahrain,1.75262826,1.869673223
50,BGD,Bangladesh,1.161976978,1.953605751
52,BRB,Barbados,4.796632767,3.893974543
112,BLR,Belarus,1.320056901,1.208645912
56,BEL,Belgium,1.704290026,1.726451737
84,BLZ,Belize,2.73767277,2.610178498
204,BEN,Benin,0.944523594,1.272615853
60,BMU,Bermuda,1,1
64,BTN,Bhutan,0.64352894,1.129752169
68,BOL,Bolivia,2.122436345,2.576222025
70,BIH,Bosnia and Herzegovina,1.663033993,2.155879253
72,BWA,Botswana,0.107995661,0.280685513
76,BRA,Brazil,2.573650771,2.093348642
92,VGB,British Virgin Islands,1,1
96,BRN,Brunei Darussalam,3.773544117,3.490705364
100,BGR,Bulgaria,0.643986667,1.346584947
854,BFA,Burkina Faso,0.272658871,0.439923721
108,BDI,Burundi,0.685383311,1.031906327
132,CPV,Cabo Verde,3.010169306,2.166573255
116,KHM,Cambodia,1.541738928,2.312664946
120,CMR,Cameroon,1.967738965,1.842287685
124,CAN,Canada,2.633913564,2.989209345
136,CYM,Cayman Islands,1,1
140,CAF,Central African Republic,0.240871751,0.282876049
148,TCD,Chad,1.780843388,1.215695574
152,CHL,Chile,1.771134528,2.557049224
156,CHN,China,1.295934892,1.777715941
170,COL,Colombia,2.696089178,2.332965497
174,COM,Comoros,1,1
184,COK,Cook Islands,1,1
188,CRI,Costa Rica,2.925415717,2.28969143
384,CIV,Cote d'Ivoire,2.164875436,2.45273045
191,HRV,Croatia,0.951768347,0.979870224
192,CUB,Cuba,2.526775614,2.04643469
531,CUW,Curacao,1,1
196,CYP,Cyprus,2.013608669,2.312657285
203,CZE,Czechia,1.147861495,1.325205011
180,COD,Dem. Rep. Congo,1.585883942,1.898964084
208,DNK,Denmark,1.125359889,1.29445238
262,DJI,Djibouti,1.401292537,0.614486629
212,DMA,Dominica,3.61054672,2.788357781
214,DOM,Dominican Republic,2.25256222,2.006902445
218,ECU,Ecuador,2.745888588,2.961490357
818,EGY,Egypt,2.286740876,2.50418195
222,SLV,El Salvador,1.974098728,2.245224508
226,GNQ,Equatorial Guinea,2.034147566,1.578052902
232,ERI,Eritrea,0.183154579,0.430499127
233,EST,Estonia,1.316268367,1.406896957
748,SWZ,Eswatini,1.280627136,1.270510069
231,ETH,Ethiopia,1.548438756,1.675088449
234,FRO,Faeroe Islands,1,1
238,FLK,Falkland Islands,1,1
242,FJI,Fiji,3.272826005,3.137393088
246,FIN,Finland,1.773228486,1.846083489
250,FRA,France,1.951407249,1.806929831
258,PYF,French Polynesia,6.093381019,5.846312247
266,GAB,Gabon,3.663191167,3.046093336
270,GMB,Gambia,1.466801365,2.0257842
268,GEO,Georgia,2.011404823,2.606309217
276,DEU,Germany,1.494580501,1.558327399
288,GHA,Ghana,1.402248956,1.580044459
300,GRC,Greece,2.003768745,2.247551848
304,GRL,Greenland,1,1
308,GRD,Grenada,4.313284528,3.525758639
320,GTM,Guatemala,2.239751885,2.274661868
831,GGY,Guernsey,1,1
324,GIN,Guinea,0.197638703,0.836371395
624,GNB,Guinea-Bissau,0.449207426,1.064758944
328,GUY,Guyana,1.378810983,2.187777581
332,HTI,Haiti,0.299522888,0.078275117
336,VAT,Holy See,1.753197312,1.81362164
340,HND,Honduras,2.646221873,2.639355543
344,HKG,Hong Kong,2.949725902,3.634996504
348,HUN,Hungary,1.18374036,1.097129915
352,ISL,Iceland,3.160346467,2.395035878
356,IND,India,1.669019051,2.441239255
360,IDN,Indonesia,1.566588289,1.830720123
364,IRN,Iran,2.05090373,2.242278822
368,IRQ,Iraq,0.42560049,0.708904897
372,IRL,Ireland,0.774812161,0.858362539
833,IMN,Isle of Man,1,1
376,ISR,Israel,2.824421436,2.464422984
380,ITA,Italy,1.543827117,1.744650739
388,JAM,Jamaica,2.089389022,1.99836608
392,JPN,Japan,3.178656611,2.769698336
832,JEY,Jersey,1,1
400,JOR,Jordan,2.131862142,2.255690727
398,KAZ,Kazakhstan,0.559638588,1.511939679
404,KEN,Kenya,0.665650781,0.727824893
296,KIR,Kiribati,1,1
689,XKX,Kosovo,2.155765074,2.624316072
414,KWT,Kuwait,0.708193442,1.126116324
417,KGZ,Kyrgyzstan,0.869102731,2.171176588
418,LAO,Laos,1.250798921,1.249539465
428,LVA,Latvia,0.98538131,1.196678591
422,LBN,Lebanon,2.642666676,2.810612036
426,LSO,Lesotho,0.679481997,0.721391695
430,LBR,Liberia,1.229061335,2.258572114
434,LBY,Libya,2.259525442,1.476273582
438,LIE,Liechtenstein,1.969513268,2.383557185
440,LTU,Lithuania,1.160972834,1.077610061
442,LUX,Luxembourg,0.691472008,0.884941467
446,MAC,Macao,2.696388245,1.845880151
450,MDG,Madagascar,0.45037052,0.875090504
454,MWI,Malawi,1.205851725,1.537279653
458,MYS,Malaysia,3.842862245,3.614492676
462,MDV,Maldives,1,1
466,MLI,Mali,0.041452132,0.035203617
470,MLT,Malta,2.451964911,2.723320474
584,MHL,Marshall Islands,1,1
478,MRT,Mauritania,0.126463569,0.194844476
480,MUS,Mauritius,4.778638903,3.709736802
484,MEX,Mexico,2.027009178,2.246473699
583,FSM,Micronesia,4.519590858,4.425595399
498,MDA,Moldova,1.510078442,1.532230498
492,MCO,Monaco,1.472071727,1.894601132
496,MNG,Mongolia,0.141170893,0.535400208
499,MNE,Montenegro,1.123680028,1.613642535
504,MAR,Morocco,1.530846534,1.695299873
508,MOZ,Mozambique,0.215348191,0.262551164
104,MMR,Myanmar,1.387602537,1.888401653
516,NAM,Namibia,0.042149247,0.133813652
520,NRU,Nauru,1,1
524,NPL,Nepal,0.647881311,1.483613929
528,NLD,Netherlands,1.906624602,1.985257567
540,NCL,New Caledonia,2.443719296,1.964246362
554,NZL,New Zealand,1.852138007,1.698713096
558,NIC,Nicaragua,2.208167155,1.852603101
562,NER,Niger,0.403959101,1.00498137
566,NGA,Nigeria,1.974771641,2.373545998
570,NIU,Niue,1,1
408,PRK,North Korea,1.432699288,1.766268914
807,MKD,North Macedonia,2.090692298,1.947046864
578,NOR,Norway,3.050053409,3.294718083
512,OMN,Oman,1.660647657,1.675802961
586,PAK,Pakistan,2.935193268,3.199632681
585,PLW,Palau,1,1
591,PAN,Panama,2.265059579,2.072530051
598,PNG,Papua New Guinea,1.444044586,1.115622236
600,PRY,Paraguay,0.636114359,0.911502827
604,PER,Peru,2.881281554,2.817124297
608,PHL,Philippines,2.273049838,2.257710109
616,POL,Poland,1.299100164,1.258421649
620,PRT,Portugal,1.240267895,1.257082403
634,QAT,Qatar,2.566937117,2.705618926
178,COG,Republic of Congo,1.946733859,1.524162432
642,ROU,Romania,0.791628183,0.700375467
643,RUS,Russia,1.433281958,2.116698613
646,RWA,Rwanda,1.400714892,1.536147054
652,BLM,Saint Barthelemy,1,1
659,KNA,Saint Kitts and Nevis,1,1
662,LCA,Saint Lucia,3.47685194,3.524727106
882,WSM,Samoa,1,1
674,SMR,San Marino,1.324361471,1.611079267
678,STP,Sao Tome and Principe,3.21056676,2.482230827
682,SAU,Saudi Arabia,1.743807992,2.111660396
686,SEN,Senegal,0.559729154,0.608920855
688,SRB,Serbia,1.875018726,2.416565427
690,SYC,Seychelles,1,1
694,SLE,Sierra Leone,1.268315911,2.123096093
702,SGP,Singapore,2.761240968,2.429182487
534,SXM,Sint Maarten,1,1
703,SVK,Slovakia,0.806279186,0.919037564
705,SVN,Slovenia,1.167901139,1.310232316
90,SLB,Solomon Islands,2.987725858,2.607366209
706,SOM,Somalia,0.71174218,0.2924697
710,ZAF,South Africa,1.217551761,1.191822576
410,KOR,South Korea,2.637450176,2.328082838
728,SSD,South Sudan,0.953039325,1.388313841
724,ESP,Spain,1.420466536,1.449391902
144,LKA,Sri Lanka,2.027046516,1.742226432
670,VCT,St. Vincent and the Grenadines,1,1
