"code","iso","country","PSU.raw.1965","PSU.raw.1966","PSU.raw.1967","PSU.raw.1968","PSU.raw.1969","PSU.raw.1970","PSU.raw.1971","PSU.raw.1972","PSU.raw.1973","PSU.raw.1974","PSU.raw.1975","PSU.raw.1976","PSU.raw.1977","PSU.raw.1978","PSU.raw.1979","PSU.raw.1980","PSU.raw.1981","PSU.raw.1982","PSU.raw.1983","PSU.raw.1984","PSU.raw.1985","PSU.raw.1986","PSU.raw.1987","PSU.raw.1988","PSU.raw.1989","PSU.raw.1990","PSU.raw.1991","PSU.raw.1992","PSU.raw.1993","PSU.raw.1994","PSU.raw.1995","PSU.raw.1996","PSU.raw.1997","PSU.raw.1998","PSU.raw.1999","PSU.raw.2000","PSU.raw.2001","PSU.raw.2002","PSU.raw.2003","PSU.raw.2004","PSU.raw.2005","PSU.raw.2006","PSU.raw.2007","PSU.raw.2008","PSU.raw.2009","PSU.raw.2010","PSU.raw.2011","PSU.raw.2012","PSU.raw.2013","PSU.raw.2014","PSU.raw.2015","PSU.raw.2016","PSU.raw.2017","PSU.raw.2018","PSU.raw.2019","PSU.raw.2020","PSU.raw.2021","PSU.raw.2022","PSU.raw.2023"
4,"AFG","Afghanistan",0,0,0,0,0,0,0.03098,0.03098,0.03098,0.03098,0.03098,0,0.04072,0.05956,0.07582,0.08078,0.11538,0.12692,0.21598,0.2879,0.36644,0.35538,0.4222,0.3143,0.22612,0.14262,0.11908,0,0,0,0,0,0,0,0,0.02642,0.02642,0.02642,0.02642,0.02642,0,0,0,0,0,0,0,0,0,0,0,0,0.00114000000000001,0.0174600000000001,0.0174600000000001,0.0174600000000001,0.0174600000000001,0.0163200000000001,0
8,"ALB","Albania",8.54458,8.58266,8.97602,10.61134,12.44078,13.92484,15.52838,16.9509,17.01028,17.28896,17.5702,17.4554,17.0591,17.16552,16.55038,15.79268,13.9747,15.13552,15.29278,14.97756,14.68234,16.02108,15.8222,16.2687,17.36778,18.81542,18.43412,16.89782,14.34412,12.6598,10.56542,10.30426,9.71032,10.69406,10.8635,11.15504,11.59096,12.97936,13.99286,15.16258,16.57954,17.11862,16.78996,15.92044,15.01498,13.96588,13.8145,13.7158,13.80258,14.0265,14.53284,15.33326,15.82042,15.50362,15.32554,15.1652,13.373,10.661,9.53966
12,"DZA","Algeria",0.15882,0.16986,0.2253,0.25806,0.39098,0.71746,1.20908,1.84838,2.5637,2.99276,3.0979,3.10576,3.12834,3.0654,3.14374,3.67578,3.6038,3.38286,3.34282,3.49374,3.61658,3.8827,4.2751,4.13268,3.59208,2.7002,1.86596,0.97718,0.64704,0.62662,0.432,0.432,0.64838,0.48978,0.23032,0.35708,0.38518,0.20152,0.18758,0.18758,0.06082,0.03272,0,0,0,0,0,0,0,0.2088,0.22754,0.22754,0.22754,0.22754,0.01874,0,0,0,0
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,0,0,0,0,0,0.01308,0.0242,0.0242,0.0242,0.0242,0.01112,0.1815,0.30232,0.35648,0.4732,0.65132,0.57496,0.61742,0.69898,0.85192,0.8413,0.88202,0.97928,1.15812,1.12418,1.08894,1.0834,0.97232,0.81164,0.69058,0.62544,0.56894,0.44378,0.33216,0.22952,0.1624,0.07858,0.05428,0.01202,0,0,0,0,0,0,0.0976,0.30538,0.30538,0.33188,0.33188,0.23428,0.05076,0.05076,0.0242599999999999,0.0242599999999999,0.0242599999999999,0.07034,0.07034
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0,0.22684,0.813,1.89708,2.71226,3.50784,3.29476,3.96058,4.1216,4.34322,4.49276,5.45696,5.29088,5.34062,5.90116,6.72658,7.35556,7.92446,8.3857,8.9479,9.36848,9.98516,10.53966,11.01274,10.97628,10.86278,11.09396,11.35042,11.59418,11.94868,12.3613,12.07444,11.8191,11.61208,11.7468,11.53938,11.73584,11.89832,12.31724,12.07958,12.1288,12.07978,11.69082,11.0658,10.8942,10.22728,9.7132,9.55504,9.2942,8.89206,9.01156,8.9629,8.9615,8.78332,8.73494,8.89704,8.93982,8.87472,8.8059
32,"ARG","Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3315,3.34655,2.9565,2.6125,2.20892,1.46996,0.99764,0.56236,0.24626,0.12734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024,0.01024,0.0554600000000001,0.0554600000000001,0.0554600000000001
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
