"code","iso","country","PTI.raw.1961","PTI.raw.1962","PTI.raw.1963","PTI.raw.1964","PTI.raw.1965","PTI.raw.1966","PTI.raw.1967","PTI.raw.1968","PTI.raw.1969","PTI.raw.1970","PTI.raw.1971","PTI.raw.1972","PTI.raw.1973","PTI.raw.1974","PTI.raw.1975","PTI.raw.1976","PTI.raw.1977","PTI.raw.1978","PTI.raw.1979","PTI.raw.1980","PTI.raw.1981","PTI.raw.1982","PTI.raw.1983","PTI.raw.1984","PTI.raw.1985","PTI.raw.1986","PTI.raw.1987","PTI.raw.1988","PTI.raw.1989","PTI.raw.1990","PTI.raw.1991","PTI.raw.1992","PTI.raw.1993","PTI.raw.1994","PTI.raw.1995","PTI.raw.1996","PTI.raw.1997","PTI.raw.1998","PTI.raw.1999","PTI.raw.2000","PTI.raw.2001","PTI.raw.2002","PTI.raw.2003","PTI.raw.2004","PTI.raw.2005","PTI.raw.2006","PTI.raw.2007","PTI.raw.2008","PTI.raw.2009","PTI.raw.2010","PTI.raw.2011","PTI.raw.2012","PTI.raw.2013","PTI.raw.2014","PTI.raw.2015","PTI.raw.2016","PTI.raw.2017","PTI.raw.2018","PTI.raw.2019","PTI.raw.2020","PTI.raw.2021","PTI.raw.2022","PTI.raw.2023"
4,"AFG","Afghanistan","1.3746","1.3886","1.4139","1.4287","1.466","1.5286","1.5677","1.6101","1.6614","1.7519","1.8799","1.8731","1.6604","1.9112","1.9821","2.3574","2.435","2.445","2.3154","2.1375","2.2001","2.1922","2.4135","2.2637","2.1392","1.7663","2.3573","1.3404","1.3192","1.0444","1.3646","1.4267","1.3856","1.3668","1.36","1.4428","1.4883","1.4931","1.6346","1.3932","1.341","1.4754","1.663","1.7919","1.865","1.732","1.5874","1.7771","1.874","2.0965","2.3094","1.9019","1.9547","2.094","2.3497","2.3867","2.8601","2.6009","3.1789","3.0688","2.1497","2.574","2.8252"
8,"ALB","Albania","12.2354","12.0098","11.7563","12.4679","14.0146","13.5691","14.9306","20.9079","21.8315","22.1779","21.7892","22.2688","21.9527","23.8972","24.4034","22.7441","21.9665","23.6938","22.3282","21.4705","13.8419","27.8863","25.4929","21.0929","20.8016","21.2243","27.2982","26.6283","26.6073","26.8212","15.4434","15.6349","11.8477","15.2684","14.9211","14.5087","13.7502","16.7625","15.6295","16.0993","16.8766","20.2451","20.9657","21.729","23.1507","19.6844","18.5812","17.8194","18.3477","19.2627","20.5481","20.3962","19.3622","20.3135","22.382","25.059","22.9861","18.0813","19.412","22.1536","16.4524","10.2422","12.9549"
12,"DZA","Algeria","1.6101","1.6718","1.3954","1.4364","1.14","1.5163","1.5595","1.8247","2.2442","3.1889","4.5694","5.1311","4.9481","4.1872","3.9873","4.794","4.5126","4.5196","4.5961","6.4141","4.2827","3.64","4.3311","5.2618","7.4351","5.981","6.0555","3.5604","2.9125","2.3071","2.0218","2.0242","2.175","2.3014","1.2719","1.013","2.1944","2.0397","1.7199","1.7252","2.0366","1.7805","1.3826","2.5611","2.089","1.9062","2.4148","1.3932","2.8858","2.1355","2.3203","3.3337","4.0608","4.4204","3.7837","3.499","3.395","3.8056","3.9281","4.2284","3.0597","3.6041","3.5354"
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola","0.5791","0.5825","0.6026","0.6398","0.6595","0.6757","0.699","0.8591","1.0065","1.101","1.6411","1.4867","1.3906","1.172","0.9218","0.9015","2.051","1.734","1.2606","1.536","1.7166","1.3633","1.6749","1.5282","2.1895","1.7497","1.6682","2.2071","2.4197","1.9958","1.6072","1.6885","1.6752","1.9227","1.6543","1.5566","1.569","1.5598","1.5228","1.5266","1.5597","1.6171","1.6554","2.0646","1.8427","1.954","2.1892","2.5668","2.4868","2.9656","3.5369","2.9176","3.1583","3.1804","3.1114","2.9059","3.3282","2.8843","3.1895","3.1277","3.0653","4.1626","3.3726"
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda","4.3185","5.0628","5.0696","5.4965","6.4671","6.4945","6.7247","7.1415","7.2643","7.3275","7.0828","7.7806","7.8082","6.4383","6.1979","6.3107","6.7978","7.9137","9.3808","10.1984","9.4327","9.7398","9.9888","12.216","12.945","12.9817","12.9818","13.1311","12.2365","12.0913","14.0314","14.1111","14.1305","14.1498","14.1175","12.5449","12.7884","13.0503","14.8209","13.1739","13.5796","13.7035","15.3002","13.8042","13.2025","13.207","11.6498","12.0882","12.8271","10.1602","10.8566","10.9439","10.8486","10.8601","10.7827","10.5702","10.7813","9.6946","10.3244","11.2524","10.506","10.3352","9.3417"
32,"ARG","Argentina","1.9921","1.7091","1.7593","1.8078","1.8672","2.0484","1.9852","1.9499","2.1401","2.0271","2.0519","2.1353","2.0388","1.9542","2.0261","2.1918","1.9154","2.054","2.417","2.3256","2.1484","2.2896","2.3492","2.2761","2.327","2.2969","2.4294","2.2084","1.9961","2.0118","2.0143","2.4199","2.7961","3.5403","3.9483","5.648","5.6046","5.923","5.9599","5.7454","5.7164","5.2544","6.3153","7.632","6.6328","7.15","8.5359","5.9773","5.29","7.6398","8.2821","6.9284","7.05","6.889","5.4034","7.9873","7.3601","7.7255","8.3334","9.1265","9.1823","8.3922","8.0404"
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.9405","5.9698","5.3568","4.9247","4.4112","3.7762","3.3726","3.1986","2.6267","2.321","2.1349","2.3078","3.2307","2.1579","2.5199","2.5563","2.096","2.0167","2.1928","2.489","2.223","2.8791","3.8664","3.366","3.1316","2.8462","2.9537","3.6034","3.8583","3.4634","3.0203","3.0508"
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
