"code","iso","country","RLI.raw.2000","RLI.raw.2001","RLI.raw.2002","RLI.raw.2003","RLI.raw.2004","RLI.raw.2005","RLI.raw.2006","RLI.raw.2007","RLI.raw.2008","RLI.raw.2009","RLI.raw.2010","RLI.raw.2011","RLI.raw.2012","RLI.raw.2013","RLI.raw.2014","RLI.raw.2015","RLI.raw.2016","RLI.raw.2017","RLI.raw.2018","RLI.raw.2019","RLI.raw.2020","RLI.raw.2021","RLI.raw.2022","RLI.raw.2023","RLI.raw.2024","RLI.raw.2025"
4,"AFG","Afghanistan","0.92548","0.92515","0.92489","0.92465","0.92451","0.92444","0.92443","0.92451","0.92462","0.92466","0.92462","0.92456","0.92449","0.92443","0.92436","0.92432","0.92426","0.92421","0.92415","0.92409","0.92403","0.92396","0.92388","0.92382","0.92375","0.92369"
8,"ALB","Albania","0.90674","0.90148","0.89626","0.89195","0.88733","0.88346","0.87973","0.87605","0.87231","0.87035","0.86837","0.86642","0.86453","0.86279","0.86098","0.85939","0.85755","0.8557","0.85378","0.85187","0.84997","0.84802","0.84612","0.84411","0.84221","0.84055"
12,"DZA","Algeria","0.90373","0.90042","0.89627","0.89237","0.88764","0.88355","0.88003","0.87612","0.87329","0.87069","0.86845","0.86601","0.86394","0.86192","0.85993","0.85797","0.85609","0.85407","0.8522","0.8501","0.8481","0.84648","0.84432","0.84259","0.84073","0.83927"
20,"AND","Andorra","0.97443","0.97434","0.97421","0.97408","0.97385","0.97093","0.96794","0.96497","0.96202","0.9618","0.96166","0.9615","0.96127","0.96049","0.95966","0.95886","0.95829","0.95812","0.95803","0.95802","0.95802","0.95798","0.95798","0.95794","0.95792","0.95787"
24,"AGO","Angola","0.97691","0.97686","0.97677","0.97669","0.97669","0.9767","0.97666","0.97662","0.97664","0.97661","0.97659","0.97641","0.9763","0.9762","0.9759","0.97574","0.97557","0.97549","0.97545","0.97544","0.97542","0.97544","0.97541","0.97541","0.97537","0.97538"
660,"AIA","Anguilla","0.8743","0.86754","0.86034","0.85253","0.84563","0.83849","0.83136","0.82458","0.81796","0.81733","0.81689","0.81656","0.81616","0.81565","0.81502","0.81434","0.81392","0.81349","0.81322","0.81306","0.81291","0.81273","0.81273","0.81272","0.81271","0.81264"
28,"ATG","Antigua and Barbuda","0.88391","0.87883","0.8737","0.86866","0.86357","0.85845","0.85336","0.84835","0.84323","0.84308","0.84298","0.84289","0.84276","0.84265","0.84255","0.84241","0.84229","0.84218","0.84208","0.84197","0.84188","0.8418","0.84173","0.84164","0.84155","0.84148"
32,"ARG","Argentina","0.86248","0.86225","0.86202","0.86179","0.86151","0.86127","0.86111","0.86095","0.86082","0.86073","0.86056","0.86044","0.8603","0.86014","0.85995","0.85974","0.85974","0.85949","0.8594","0.85913","0.85913","0.85903","0.85886","0.8588","0.85871","0.85846"
51,"ARM","Armenia","0.86285","0.8626","0.86243","0.86206","0.86143","0.86081","0.85999","0.8593","0.85853","0.85774","0.8571","0.85659","0.85607","0.85568","0.85547","0.85523","0.85492","0.85446","0.85401","0.85278","0.85143","0.84939","0.84698","0.84442","0.84297","0.84184"
533,"ABW","Aruba","0.9013","0.89409","0.89071","0.88561","0.88084","0.87563","0.87094","0.86643","0.86566","0.86535","0.86512","0.86478","0.8644","0.86386","0.86323","0.86259","0.86208","0.86168","0.86135","0.86108","0.86084","0.86058","0.8604","0.86032","0.86008","0.85995"
36,"AUS","Australia","0.90939","0.90775","0.9062","0.90458","0.90304","0.90147","0.90007","0.8985","0.89627","0.89374","0.89084","0.88753","0.88422","0.88157","0.87827","0.87531","0.87173","0.86889","0.86562","0.86285","0.85965","0.85684","0.85403","0.85085","0.84812","0.84561"
40,"AUT","Austria","0.97844","0.97818","0.97793","0.97742","0.97724","0.97572","0.97398","0.97233","0.97057","0.96873","0.96704","0.96551","0.96388","0.96263","0.96127","0.96022","0.95898","0.95754","0.95597","0.95422","0.95275","0.95122","0.94974","0.94826","0.94684","0.94532"
31,"AZE","Azerbaijan","0.94704","0.94657","0.94572","0.94543","0.9451","0.94532","0.94578","0.94597","0.94649","0.94663","0.94685","0.94737","0.94747","0.94797","0.94846","0.94872","0.9489","0.94899","0.94903","0.94844","0.94757","0.94673","0.94588","0.94581","0.94577","0.94576"
44,"BHS","Bahamas","0.79125","0.78571","0.78018","0.77466","0.76916","0.76356","0.75806","0.75253","0.74704","0.74688","0.74675","0.74656","0.74635","0.74557","0.74463","0.7436","0.74245","0.74059","0.73882","0.7372","0.73557","0.7353","0.7351","0.73499","0.7349","0.73481"
48,"BHR","Bahrain","0.82364","0.82361","0.82358","0.82356","0.82353","0.82349","0.82343","0.82333","0.82309","0.82096","0.81846","0.81622","0.81382","0.81145","0.8092","0.80687","0.80466","0.80232","0.80003","0.79765","0.79543","0.79317","0.79075","0.78839","0.7862","0.78455"
50,"BGD","Bangladesh","0.90543","0.9052","0.90493","0.90465","0.90428","0.90388","0.90343","0.9029","0.89849","0.89413","0.88842","0.88521","0.87797","0.87415","0.86769","0.86446","0.8592","0.85344","0.84893","0.84291","0.83761","0.83196","0.82726","0.82207","0.81754","0.81263"
52,"BRB","Barbados","0.83378","0.82824","0.82106","0.81414","0.80672","0.80023","0.79287","0.78634","0.77948","0.77921","0.77903","0.77885","0.77864","0.77836","0.77815","0.77787","0.7776","0.77735","0.7772","0.777","0.77684","0.77668","0.77653","0.7764","0.77624","0.77616"
112,"BLR","Belarus","0.95547","0.95729","0.95911","0.96093","0.96274","0.96456","0.96637","0.96819","0.96993","0.97112","0.9726","0.97455","0.97671","0.97896","0.98091","0.98321","0.98535","0.98744","0.98955","0.99122","0.99322","0.99535","0.9969","0.99919","1","1"
56,"BEL","Belgium","0.97077","0.97075","0.97079","0.97073","0.9705","0.97008","0.96962","0.969","0.96858","0.96795","0.96769","0.96715","0.96685","0.96681","0.96677","0.96683","0.96674","0.96655","0.96635","0.96601","0.96558","0.96532","0.96484","0.96451","0.96418","0.96356"
84,"BLZ","Belize","0.90049","0.89454","0.8873","0.88091","0.87545","0.86876","0.86299","0.8591","0.85537","0.85509","0.85457","0.85496","0.85536","0.85584","0.85626","0.85653","0.85696","0.85717","0.85743","0.85763","0.85789","0.85842","0.85881","0.85924","0.85976","0.85999"
204,"BEN","Benin","0.97963","0.97955","0.97953","0.97956","0.97967","0.97973","0.97981","0.97993","0.98006","0.98018","0.98018","0.98014","0.98","0.97991","0.97979","0.97969","0.97964","0.97958","0.97955","0.97954","0.97956","0.97953","0.97955","0.97955","0.97951","0.97953"
60,"BMU","Bermuda","0.60838","0.60291","0.60221","0.6013","0.6004","0.59681","0.59566","0.59254","0.58424","0.57607","0.57399","0.57178","0.568","0.56154","0.55817","0.55204","0.55132","0.55186","0.55524","0.56448","0.56788","0.57083","0.5725","0.57546","0.5758","0.57635"
64,"BTN","Bhutan","0.90031","0.89997","0.89988","0.89977","0.89984","0.89994","0.90048","0.90078","0.90115","0.90121","0.90127","0.90127","0.90107","0.90112","0.90093","0.90086","0.90072","0.90061","0.90046","0.90029","0.90017","0.89983","0.89959","0.89932","0.89907","0.89898"
68,"BOL","Bolivia","0.88302","0.88212","0.88119","0.88018","0.87925","0.87853","0.87772","0.87703","0.87627","0.87568","0.87489","0.87424","0.8736","0.87285","0.87238","0.87177","0.87111","0.87041","0.86983","0.86925","0.86875","0.86809","0.86767","0.86697","0.8663","0.86578"
70,"BIH","Bosnia and Herzegovina","0.89074","0.88685","0.88323","0.87941","0.87568","0.87188","0.8681","0.86402","0.86044","0.85814","0.8559","0.85387","0.85177","0.84998","0.84811","0.84613","0.84425","0.84237","0.84042","0.83808","0.83614","0.83388","0.8319","0.82985","0.82794","0.82639"
72,"BWA","Botswana","0.98269","0.98262","0.98254","0.98246","0.98238","0.98225","0.98215","0.98202","0.98191","0.98179","0.98162","0.98153","0.98143","0.98139","0.98135","0.98132","0.98129","0.98126","0.98122","0.98119","0.98116","0.98113","0.98112","0.98109","0.98107","0.98105"
76,"BRA","Brazil","0.85102","0.84485","0.83876","0.83254","0.82638","0.81984","0.81316","0.80751","0.80389","0.79926","0.79738","0.79613","0.79535","0.79472","0.79391","0.79328","0.79258","0.79168","0.79078","0.78967","0.78824","0.78705","0.78628","0.78507","0.78436","0.7834"
92,"VGB","British Virgin Islands","0.76203","0.75606","0.75016","0.74504","0.73988","0.73524","0.7303","0.72598","0.72291","0.72251","0.72281","0.72354","0.72407","0.72449","0.72509","0.72562","0.72613","0.72664","0.72731","0.72801","0.72871","0.72937","0.73003","0.73084","0.73152","0.73219"
96,"BRN","Brunei Darussalam","0.90541","0.90278","0.90088","0.89926","0.8975","0.89597","0.89461","0.89255","0.88942","0.88642","0.88199","0.87795","0.87425","0.86987","0.86636","0.86231","0.85871","0.85479","0.85177","0.84825","0.84498","0.84104","0.8375","0.83372","0.83122","0.82837"
100,"BGR","Bulgaria","0.92422","0.92363","0.92307","0.92249","0.92192","0.92168","0.9214","0.92116","0.92095","0.92071","0.92048","0.92035","0.92027","0.92031","0.92045","0.9207","0.92079","0.92076","0.92072","0.92057","0.92041","0.92025","0.92012","0.92","0.91986","0.91972"
854,"BFA","Burkina Faso","0.98672","0.98657","0.98637","0.9862","0.98602","0.98589","0.98573","0.98553","0.98529","0.9851","0.98491","0.98463","0.98452","0.98433","0.98422","0.9841","0.98402","0.98395","0.98386","0.98381","0.98379","0.98374","0.98372","0.98369","0.98367","0.98364"
108,"BDI","Burundi","0.90989","0.90988","0.90986","0.90983","0.9098","0.90976","0.90972","0.90969","0.90968","0.90965","0.90963","0.90961","0.90958","0.90957","0.90956","0.9095","0.90911","0.90867","0.9083","0.90779","0.9077","0.90765","0.90761","0.90761","0.90761","0.9076"
132,"CPV","Cabo Verde","0.8859","0.88506","0.88406","0.88304","0.88203","0.88102","0.8802","0.87907","0.87879","0.87879","0.8788","0.87902","0.87922","0.87941","0.87958","0.87976","0.88","0.88016","0.88034","0.8805","0.88063","0.88095","0.88129","0.88169","0.88226","0.88279"
116,"KHM","Cambodia","0.85282","0.8515","0.85028","0.84902","0.84785","0.84652","0.84514","0.84291","0.84073","0.83737","0.83394","0.8298","0.82577","0.82202","0.81771","0.81381","0.8097","0.80597","0.8027","0.79906","0.7956","0.79185","0.78807","0.78484","0.78046","0.77698"
120,"CMR","Cameroon","0.84879","0.84861","0.84856","0.84848","0.84829","0.84806","0.84776","0.8475","0.84723","0.84686","0.84662","0.84625","0.84596","0.84568","0.8453","0.84504","0.8447","0.84428","0.84407","0.84381","0.84356","0.84299","0.84274","0.84246","0.84218","0.84184"
124,"CAN","Canada","0.97094","0.97066","0.97035","0.97004","0.96967","0.96933","0.96898","0.96861","0.96822","0.96797","0.9677","0.96737","0.96706","0.96672","0.96635","0.96601","0.96571","0.96542","0.96518","0.96501","0.96478","0.96459","0.96439","0.96424","0.96398","0.96382"
136,"CYM","Cayman Islands","0.83373","0.8289","0.82417","0.81962","0.81464","0.80987","0.80514","0.80055","0.79591","0.79571","0.79559","0.79548","0.79545","0.79537","0.79527","0.79527","0.79521","0.79519","0.79519","0.79517","0.7951","0.79513","0.79515","0.79508","0.79495","0.79503"
140,"CAF","Central African Republic","0.98006","0.97995","0.9798","0.97977","0.97961","0.97957","0.97957","0.97949","0.97942","0.97924","0.97919","0.97909","0.97907","0.97894","0.97883","0.97881","0.97872","0.97866","0.97856","0.97853","0.97847","0.97847","0.97843","0.97839","0.97842","0.97845"
148,"TCD","Chad","0.95722","0.95672","0.95613","0.95561","0.95502","0.95444","0.95388","0.95332","0.95287","0.95214","0.95155","0.95097","0.95041","0.94991","0.94955","0.94921","0.9488","0.94849","0.94806","0.94772","0.94734","0.94701","0.94661","0.94638","0.94599","0.94565"
152,"CHL","Chile","0.81242","0.81189","0.81147","0.81103","0.81064","0.81015","0.80982","0.80914","0.80783","0.80632","0.80433","0.80174","0.79953","0.79702","0.79441","0.79214","0.78983","0.78709","0.78475","0.78229","0.7801","0.77773","0.77525","0.77251","0.7704","0.76751"
156,"CHN","China","0.88303","0.88126","0.87966","0.87812","0.87658","0.87504","0.87365","0.87214","0.87076","0.86784","0.86564","0.86323","0.86092","0.85854","0.85608","0.8534","0.85073","0.84856","0.84616","0.8439","0.84141","0.83933","0.8368","0.83464","0.83182","0.82952"
170,"COL","Colombia","0.81653","0.81121","0.80633","0.80116","0.79706","0.79186","0.78776","0.78285","0.7795","0.77824","0.77737","0.77698","0.77635","0.77579","0.77515","0.77467","0.77407","0.77353","0.77294","0.77232","0.77169","0.77108","0.77054","0.77003","0.76956","0.76904"
174,"COM","Comoros","0.80872","0.8077","0.80726","0.80761","0.80796","0.80787","0.80796","0.8077","0.80738","0.80648","0.80377","0.80096","0.79834","0.79531","0.79309","0.79035","0.78594","0.78387","0.7811","0.77845","0.77596","0.77221","0.76811","0.76615","0.76214","0.75899"
184,"COK","Cook Islands","0.84414","0.84439","0.84476","0.84529","0.84566","0.84638","0.84721","0.84718","0.84597","0.84297","0.83923","0.83473","0.82981","0.82596","0.82255","0.81757","0.81207","0.80824","0.80401","0.79943","0.79551","0.79087","0.78598","0.78214","0.77847","0.77345"
188,"CRI","Costa Rica","0.87924","0.87454","0.87081","0.8675","0.86436","0.86142","0.85923","0.85775","0.85481","0.85321","0.85048","0.84768","0.84519","0.84091","0.83985","0.83763","0.83604","0.8345","0.83384","0.83378","0.83443","0.8354","0.83538","0.83526","0.83525","0.83528"
384,"CIV","Cote d'Ivoire","0.90728","0.90716","0.90709","0.90702","0.90691","0.90677","0.90667","0.90651","0.90641","0.9063","0.90617","0.90605","0.90583","0.90552","0.90523","0.90488","0.90463","0.9044","0.90413","0.90407","0.90402","0.90385","0.90381","0.90387","0.90379","0.90388"
191,"HRV","Croatia","0.89148","0.88756","0.88366","0.8796","0.87567","0.87157","0.86723","0.86277","0.85914","0.85575","0.85321","0.85099","0.84827","0.84593","0.84358","0.84138","0.83898","0.83668","0.83451","0.83175","0.82901","0.82662","0.82432","0.82176","0.81973","0.81744"
