"code","iso","country","SHI.raw.2025"
4,"AFG","Afghanistan",99.82
8,"ALB","Albania",NA
12,"DZA","Algeria",102.65
20,"AND","Andorra",NA
24,"AGO","Angola",96.84
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",NA
32,"ARG","Argentina",95.7
51,"ARM","Armenia",NA
533,"ABW","Aruba",NA
36,"AUS","Australia",96.84
40,"AUT","Austria",96.03
31,"AZE","Azerbaijan",98.83
44,"BHS","Bahamas",NA
48,"BHR","Bahrain",NA
50,"BGD","Bangladesh",97.98
52,"BRB","Barbados",NA
112,"BLR","Belarus",96.75
56,"BEL","Belgium",94.27
84,"BLZ","Belize",NA
204,"BEN","Benin",102.16
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",101.18
68,"BOL","Bolivia",91.49
70,"BIH","Bosnia and Herzegovina",97.78
72,"BWA","Botswana",99.35
76,"BRA","Brazil",95.33
92,"VGB","British Virgin Islands",NA
96,"BRN","Brunei Darussalam",NA
100,"BGR","Bulgaria",98.18
854,"BFA","Burkina Faso",101.92
108,"BDI","Burundi",NA
132,"CPV","Cabo Verde",NA
116,"KHM","Cambodia",96.2
120,"CMR","Cameroon",95.45
124,"CAN","Canada",96.52
136,"CYM","Cayman Islands",NA
140,"CAF","Central African Republic",96.68
148,"TCD","Chad",98.92
152,"CHL","Chile",97.95
156,"CHN","China",98.48
170,"COL","Colombia",94.93
174,"COM","Comoros",NA
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",97.47
384,"CIV","Cote d'Ivoire",93.44
191,"HRV","Croatia",97.59
192,"CUB","Cuba",97.83
531,"CUW","Curacao",NA
196,"CYP","Cyprus",NA
203,"CZE","Czechia",96.5
180,"COD","Dem. Rep. Congo",98.61
208,"DNK","Denmark",98.24
262,"DJI","Djibouti",NA
212,"DMA","Dominica",NA
214,"DOM","Dominican Republic",98.97
218,"ECU","Ecuador",94.61
818,"EGY","Egypt",99.09
222,"SLV","El Salvador",NA
226,"GNQ","Equatorial Guinea",NA
232,"ERI","Eritrea",99.03
233,"EST","Estonia",97.1
748,"SWZ","Eswatini",NA
231,"ETH","Ethiopia",100.27
234,"FRO","Faeroe Islands",NA
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",NA
246,"FIN","Finland",98.87
250,"FRA","France",98.25
258,"PYF","French Polynesia",NA
266,"GAB","Gabon",97.03
270,"GMB","Gambia",NA
268,"GEO","Georgia",98.13
276,"DEU","Germany",96.77
288,"GHA","Ghana",99.23
300,"GRC","Greece",98.57
304,"GRL","Greenland",100
308,"GRD","Grenada",NA
320,"GTM","Guatemala",92.25
831,"GGY","Guernsey",NA
324,"GIN","Guinea",98.17
624,"GNB","Guinea-Bissau",NA
328,"GUY","Guyana",97.17
332,"HTI","Haiti",NA
336,"VAT","Holy See",NA
340,"HND","Honduras",89.67
344,"HKG","Hong Kong",NA
348,"HUN","Hungary",95.84
352,"ISL","Iceland",100
356,"IND","India",98.5
360,"IDN","Indonesia",96.63
364,"IRN","Iran",102.16
368,"IRQ","Iraq",99.74
372,"IRL","Ireland",100.52
833,"IMN","Isle of Man",NA
376,"ISR","Israel",NA
380,"ITA","Italy",99.26
388,"JAM","Jamaica",NA
392,"JPN","Japan",96.59
832,"JEY","Jersey",NA
400,"JOR","Jordan",98.23
398,"KAZ","Kazakhstan",102.32
404,"KEN","Kenya",100.4
296,"KIR","Kiribati",NA
689,"XKX","Kosovo",NA
414,"KWT","Kuwait",NA
417,"KGZ","Kyrgyzstan",98.32
418,"LAO","Laos",96.77
428,"LVA","Latvia",97.63
422,"LBN","Lebanon",NA
426,"LSO","Lesotho",98.93
430,"LBR","Liberia",100.57
434,"LBY","Libya",99.82
438,"LIE","Liechtenstein",NA
440,"LTU","Lithuania",98.18
442,"LUX","Luxembourg",NA
446,"MAC","Macao",NA
450,"MDG","Madagascar",93.34
454,"MWI","Malawi",99.19
458,"MYS","Malaysia",93.64
462,"MDV","Maldives",NA
466,"MLI","Mali",98.31
470,"MLT","Malta",NA
584,"MHL","Marshall Islands",NA
478,"MRT","Mauritania",99.5
480,"MUS","Mauritius",NA
484,"MEX","Mexico",95.62
583,"FSM","Micronesia",NA
498,"MDA","Moldova",95.32
492,"MCO","Monaco",NA
496,"MNG","Mongolia",99.2
499,"MNE","Montenegro",NA
504,"MAR","Morocco",100.16
508,"MOZ","Mozambique",97.66
104,"MMR","Myanmar",98.29
516,"NAM","Namibia",101.49
520,"NRU","Nauru",NA
524,"NPL","Nepal",98.95
528,"NLD","Netherlands",97.38
540,"NCL","New Caledonia",NA
554,"NZL","New Zealand",99.46
558,"NIC","Nicaragua",86.48
562,"NER","Niger",98.87
566,"NGA","Nigeria",97.47
570,"NIU","Niue",NA
408,"PRK","North Korea",99.82
807,"MKD","North Macedonia",NA
578,"NOR","Norway",99.34
512,"OMN","Oman",100.05
586,"PAK","Pakistan",97.27
585,"PLW","Palau",NA
591,"PAN","Panama",95.34
598,"PNG","Papua New Guinea",98.17
600,"PRY","Paraguay",91.14
604,"PER","Peru",95.09
608,"PHL","Philippines",97.61
616,"POL","Poland",97.1
620,"PRT","Portugal",98.27
634,"QAT","Qatar",NA
178,"COG","Republic of Congo",97.69
642,"ROU","Romania",95.98
643,"RUS","Russia",97.52
646,"RWA","Rwanda",NA
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",NA
662,"LCA","Saint Lucia",NA
882,"WSM","Samoa",NA
674,"SMR","San Marino",NA
678,"STP","Sao Tome and Principe",NA
682,"SAU","Saudi Arabia",102.5
686,"SEN","Senegal",100.19
688,"SRB","Serbia",96.76
690,"SYC","Seychelles",NA
694,"SLE","Sierra Leone",102.73
702,"SGP","Singapore",NA
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",95.95
705,"SVN","Slovenia",NA
90,"SLB","Solomon Islands",NA
706,"SOM","Somalia",101.14
710,"ZAF","South Africa",98.4
410,"KOR","South Korea",97.77
728,"SSD","South Sudan",107.46
724,"ESP","Spain",97.33
144,"LKA","Sri Lanka",99.66
670,"VCT","St. Vincent and the Grenadines",NA
275,"PSE","State of Palestine",NA
729,"SDN","Sudan",99.59
740,"SUR","Suriname",95.3
752,"SWE","Sweden",95.97
756,"CHE","Switzerland",96.38
760,"SYR","Syria",98.85
158,"TWN","Taiwan",94.45
762,"TJK","Tajikistan",98.37
834,"TZA","Tanzania",99.83
764,"THA","Thailand",98.06
626,"TLS","Timor-Leste",NA
768,"TGO","Togo",103.4
776,"TON","Tonga",NA
780,"TTO","Trinidad and Tobago",NA
788,"TUN","Tunisia",104.19
792,"TUR","Turkiye",98.31
795,"TKM","Turkmenistan",100.25
796,"TCA","Turks and Caicos Islands",NA
798,"TUV","Tuvalu",NA
800,"UGA","Uganda",100.3
804,"UKR","Ukraine",95.05
784,"ARE","United Arab Emirates",99.46
826,"GBR","United Kingdom",99.18
840,"USA","United States of America",96.77
858,"URY","Uruguay",100.11
860,"UZB","Uzbekistan",93.26
548,"VUT","Vanuatu",NA
862,"VEN","Venezuela",95.9
704,"VNM","Viet Nam",96.89
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",99.98
887,"YEM","Yemen",100.85
894,"ZMB","Zambia",98.93
716,"ZWE","Zimbabwe",100.65
