"code","iso","country","WWT.raw.2015","WWT.raw.2016","WWT.raw.2017","WWT.raw.2018","WWT.raw.2019","WWT.raw.2020","WWT.raw.2021","WWT.raw.2022","WWT.raw.2023","WWT.raw.2024"
4,"AFG","Afghanistan",0,NA,NA,NA,NA,NA,NA,NA,NA,6.056743145
8,"ALB","Albania",33.4,NA,NA,NA,NA,NA,NA,19.46665955,NA,12.72300529
12,"DZA","Algeria",41.7,NA,NA,NA,NA,NA,NA,76.18772888,NA,76.20021057
20,"AND","Andorra",100,NA,NA,NA,NA,NA,NA,100,NA,100
24,"AGO","Angola",4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",11.8,NA,NA,NA,NA,NA,NA,36.48806763,NA,23.60534859
51,"ARM","Armenia",14.6,NA,NA,NA,NA,NA,NA,0.5625,NA,0.556375623
533,"ABW","Aruba",65.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",92.9,NA,NA,NA,NA,NA,NA,95.81960297,NA,95.77098846
40,"AUT","Austria",100,NA,NA,NA,NA,NA,NA,98.20522308,NA,95.81809998
31,"AZE","Azerbaijan",38.09,NA,NA,NA,NA,NA,NA,41.33968735,NA,37.43198013
44,"BHS","Bahamas",63,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",64.9,NA,NA,NA,NA,NA,NA,93.27165222,NA,94.11875916
50,"BGD","Bangladesh",2,NA,NA,NA,NA,NA,NA,17.5205307,NA,16.34177971
52,"BRB","Barbados",48.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",62.8,NA,NA,NA,NA,NA,NA,80.31443024,NA,83.31433868
56,"BEL","Belgium",78.2,NA,NA,NA,NA,NA,NA,85.06780243,NA,85.36613464
84,"BLZ","Belize",31.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",0,NA,NA,NA,NA,NA,NA,1.409315586,NA,6.687398911
60,"BMU","Bermuda",93.41,NA,NA,NA,NA,NA,NA,1.501752019,NA,1.5
64,"BTN","Bhutan",14.36,NA,NA,NA,NA,NA,NA,39.61262512,NA,48.76371002
68,"BOL","Bolivia",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",31.3,NA,NA,NA,NA,NA,NA,65.30532074,NA,65.30693817
72,"BWA","Botswana",36,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",40.8,NA,NA,NA,NA,NA,NA,43.40779114,NA,NA
92,"VGB","British Virgin Islands",70.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",68.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",54.6,NA,NA,NA,NA,NA,NA,72.08776855,NA,74.64386749
854,"BFA","Burkina Faso",2,NA,NA,NA,NA,NA,NA,2.776229143,NA,2.144237041
108,"BDI","Burundi",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",16.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",0,NA,NA,NA,NA,NA,NA,46.79142761,NA,NA
120,"CMR","Cameroon",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",68,NA,NA,NA,NA,NA,NA,68.89015961,NA,68.29610443
136,"CYM","Cayman Islands",88.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",0,NA,NA,NA,NA,NA,NA,2.315779209,NA,2.348043919
152,"CHL","Chile",84,NA,NA,NA,NA,NA,NA,89.10071564,NA,87.88771057
156,"CHN","China",49,NA,NA,NA,NA,NA,NA,61.67234802,NA,64.02632141
