iso,country,BCA,BER,BHI,BTO,BTZ,CDA,CHA,COE,FCD,FGA,GEL,GHO,GTI,GTP,HFD,HPE,KFL,KGL,LUF,MHP,MKP,MPE,NDA,NOD,NXA,OEB,OEC,OZD,PAC,PAE,PAR,PBD,PHL,PMD,PRS,PSU,RCY,RLI,RMS,SDA,SHI,SMW,SNM,SOE,SPI,TBN,TCL,TKP,USD,UWD,VOE,WWT
AFG,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.4460084077552,NA,NA,96.4323999999999,NA,NA,NA,8.16,11.6781593105198,NA,24.5526050068753,NA,NA,NA,NA
ALB,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4379562043796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6943525175805,NA,NA,NA,NA,NA,NA,64.87,71.6114309481713,NA,49.2257521111503,NA,NA,NA,NA
DZA,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.282491565699,NA,NA,100,NA,NA,NA,70.16,99.7086654386753,NA,87.7666473598501,NA,NA,NA,NA
AND,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.4439828884645,NA,NA,NA,NA,NA,NA,51.4,89.678300558172,NA,26.1966825978887,NA,NA,NA,NA
AGO,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.0781120036553,NA,NA,46.7856000000001,NA,NA,NA,32.25,34.1140745351397,NA,74.67924160441,NA,NA,NA,NA
AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8148667601683,66.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.713853168353,NA,NA,NA,NA,NA,NA,0,0,NA,54.0820594732586,NA,NA,NA,NA
ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2044614234545,83.2618025751073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9935952404319,NA,NA,NA,NA,NA,NA,7.58,51.4593531799293,NA,82.1238488238383,NA,NA,NA,NA
ARG,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5016274796837,11.7776712985146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4571881802342,NA,NA,32.49,NA,NA,NA,31.87,27.8502851766948,NA,40.2043434063675,NA,NA,NA,NA
ARM,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1094311331485,NA,NA,NA,NA,NA,NA,62.95,99.995937959288,NA,65.3377390062136,NA,NA,NA,NA
ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7863564251719,61.7021276595745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9366200695337,NA,NA,NA,NA,NA,NA,34.59,57.977681320455,NA,93.4618287495531,NA,NA,NA,NA
