iso,country,PMD.new,HFD.new,OZD.new,NOD.new,COE.new,SOE.new,VOE.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,SMW.new,BDH.new,MHP.new,MKP.new,MPE.new,TBN.new,TKP.new,PAR.new,PAC.new,SPI.new,SHI.new,RLI.new,BHI.new,BER.new,FSH.new,FCD.new,BTO.new,BTZ.new,RMS.new,FOR.new,TCL.new,KFL.new,GRS.new,GEL.new,KGL.new,APO.new,NXA.new,SDA.new,AGR.new,SNM.new,PSU.new,RCY.new,PRS.new,WRS.new,WWT.new,PCC.new,CCH.new,CDA.new,CHA.new,NDA.new,FGA.new,BCA.new,GTP.new,GTI.new,GHO.new,LUF.new,EPI.new
AFG,Afghanistan,40.18,4.86,20.28,65.61,49.72,59.17,36.6,30.52,31.82,6.15,6.15,56.2,56.2,19.02,NA,NA,NA,11.68,24.55,16.22,10.58,8.16,96.43,75.45,40.93,45.39,NA,NA,NA,NA,NA,58.73,54.32,66.93,88.24,93.65,81.63,41.96,41.36,42.55,59.93,34.13,100,5.3,51.99,6.06,6.06,38.38,38.38,40.73,47.95,58,8.29,45.11,44.43,38.05,20.26,0,33.14
ALB,Albania,32.07,38.77,60.79,60.26,62.46,44.85,46.1,77.28,71.65,45.87,45.87,91.69,91.69,41.46,NA,20.44,30.23,71.61,49.23,33.87,20.67,64.87,NA,48.69,26.35,25.99,32.47,19.28,8.43,2.18,100,20.84,20.91,20.71,51.07,47.22,55.78,75.13,100,50.26,31.77,23.67,40.69,7.47,65.73,12.72,12.72,61.48,61.48,56,90.3,100,10.61,82.32,58.22,63.02,77.6,76.91,49.22
DZA,Algeria,14.37,100,29.89,47.85,44.5,25.62,29.18,65.69,54.83,28.21,28.21,40,40,40.42,0,0,0,99.71,87.77,37.04,7.62,70.16,100,48.28,49.19,59.94,47.7,33.87,50.41,48.5,58.02,3.5,5.39,0,87.15,89.35,84.47,49.8,46.67,52.93,62.78,37.66,100,4.39,74.61,76.2,76.2,31.57,31.57,33.43,49.59,49.16,16.02,58.89,25.54,30.94,0,53.73,42.74
AGO,Angola,18.77,17.19,26.62,35.63,38.66,58.66,8.41,23.31,22.23,43.54,43.54,43.89,43.89,28.48,0,0,NA,34.11,74.68,27.34,18.54,32.25,46.79,92.08,68.14,76.02,39.4,42.05,43.83,25.9,45.81,12.4,14.3,8.86,80.03,80.32,79.68,60.69,60.79,60.59,60.84,37.46,92.67,3.15,97.81,4.29,4.29,56.47,56.47,58.17,77.94,46.25,9.14,53.58,58.04,59.47,67.36,31.05,39.46
ATG,Antigua & Barbuda,54.22,80.05,100,34.12,82.5,66.15,89.23,58.37,58.02,72.35,72.35,49.5,49.5,48.04,33.2,83.26,0,51.46,82.12,51.26,26.63,7.58,NA,48.99,71.93,69.38,83.93,NA,100,100,51.8,25.8,25.65,26.07,20.03,2.88,40.99,48.59,51.35,45.82,21.77,3.89,41.7,NA,41.19,44.4,44.4,40.03,40.03,42.04,47.03,51.79,50,58.78,26.73,39.94,14.75,100,48.04
ARG,Argentina,33.61,100,49.5,29.12,64.07,68.45,16.96,72.76,66.94,60.68,60.68,89.3,89.3,28.88,45.5,11.78,75.21,27.85,40.2,12.65,12.15,31.87,32.49,54.46,41.92,40.41,36.86,47.78,25.13,25.79,48.72,12.78,13.45,11.53,71.46,77.59,63.96,56.33,48.53,64.13,83.46,83,100,9.66,29.51,23.61,23.61,42.54,42.54,52.01,46.72,38.18,12.32,50.36,33.76,46.12,34.24,28.06,46.06
ARM,Armenia,9.51,69.21,47.22,64.37,58.6,36.36,42.91,66.45,72.38,36.48,36.48,0.2,0.2,56.88,NA,NA,NA,100,65.34,26.93,37.92,62.95,NA,49.11,35.76,33.33,NA,NA,NA,NA,NA,54.56,54.64,54.4,60.83,60.18,61.62,50,0,100,49.5,18.44,93.91,5.05,49.33,0.56,0.56,27.67,27.67,21.32,52.05,65.92,23.35,63.51,23.42,29.74,0,27.85,43.05
AUS,Australia,88.78,97.41,71.06,16.85,82.52,41.68,18.13,82.34,77.14,90.48,90.48,99.78,99.78,53.14,50.59,61.68,29.37,72.69,59.11,33.98,33.53,65.5,46.79,50.32,55.67,52.42,49.1,44.52,53.66,50.42,47.81,2.18,3.35,0,89.26,94.76,82.54,65.6,70.43,60.77,52.1,53.69,54.74,8.06,58.97,95.77,95.77,42.7,42.7,54.98,49.59,29.34,37.92,48.46,18.26,46.57,43.01,43.28,59.4
AUT,Austria,65.21,85.38,39.25,49.28,55.95,61.12,49.86,87.4,91.84,82.25,82.25,99.54,99.54,61.8,NA,NA,NA,87.35,70.85,48.29,28.71,84.58,36.36,82.41,30.47,20.68,NA,NA,NA,NA,NA,12.25,13.47,10,69.83,65.78,74.77,91.63,100,83.25,56.79,68.51,46.33,8.51,71.56,95.82,95.82,63.7,63.7,62.22,60.69,69.82,70.4,98.49,47.13,68.96,76.34,100,66.8
AZE,Azerbaijan,0,53.04,38.55,70.16,61.94,39.49,41.01,39.85,42.75,19.6,19.6,67.66,67.66,48.15,NA,NA,NA,66.63,66.12,21.31,20.87,65.45,77.97,82.55,25.62,23.55,NA,NA,NA,NA,NA,45.9,50.01,38.28,68.25,61.58,76.4,42.02,25.96,58.08,55.18,54.73,60.5,8.2,64.17,37.43,37.43,32.25,32.25,35.89,49,11.1,27.12,42,26.87,36.21,3.4,24.2,39.76
