Intervention,Improvement,Baseline_EPI,Scenario_EPI,EPI_Change
Carbon Emission Reduction,5%,22.54946517944336,23.71942901611328,1.1699638366699219
Carbon Emission Reduction,10%,22.54946517944336,23.71942901611328,1.1699638366699219
Carbon Emission Reduction,20%,22.54946517944336,24.297054290771484,1.747589111328125
Air Pollution Reduction,5%,22.54946517944336,22.61461639404297,0.06515121459960938
Air Pollution Reduction,10%,22.54946517944336,22.84532928466797,0.2958641052246094
Air Pollution Reduction,20%,22.54946517944336,22.84532928466797,0.2958641052246094
Forest Conservation,5%,22.54946517944336,22.54946517944336,0.0
Forest Conservation,10%,22.54946517944336,22.594371795654297,0.0449066162109375
Forest Conservation,20%,22.54946517944336,22.656631469726562,0.10716629028320312
Drinking Water Improvement,5%,22.54946517944336,22.571258544921875,0.021793365478515625
Drinking Water Improvement,10%,22.54946517944336,22.571258544921875,0.021793365478515625
Drinking Water Improvement,20%,22.54946517944336,22.571258544921875,0.021793365478515625
